entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0043/ID00003/000004	stage	STG0043	ID00003	4	01_스테이지 xlsx 모음/STG0043(25화B)-ID00003-script-통합.xlsx	88d1799d4360921dbc963e5c1ce1eda3ef49d68ecb1ed1d9fb83c798e826b25c	7d13ca62df51e5bf3b06fda4a190391d0a57b89a82d37e50fee25187c342d350	~자원위성 팔라우 고관용 집무실~		　　　　～자원위성 팔라우 고관용 집무실～	　　　　～切据是失　独虞酔　壱淫遂　増巷叔～		44	[]	imported	
STG0043/ID00003/000005	stage	STG0043	ID00003	5	01_스테이지 xlsx 모음/STG0043(25화B)-ID00003-script-통합.xlsx	88d1799d4360921dbc963e5c1ce1eda3ef49d68ecb1ed1d9fb83c798e826b25c	8944b01b1fca445c7c63ebbd810f2125c1c284915cd32dda4ffb7b022b275f55	진네만		진네만	遭革幻		6	[]	imported	
STG0043/ID00003/000006	stage	STG0043	ID00003	6	01_스테이지 xlsx 모음/STG0043(25화B)-ID00003-script-통합.xlsx	88d1799d4360921dbc963e5c1ce1eda3ef49d68ecb1ed1d9fb83c798e826b25c	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0043/ID00003/000007	stage	STG0043	ID00003	7	01_스테이지 xlsx 모음/STG0043(25화B)-ID00003-script-통합.xlsx	88d1799d4360921dbc963e5c1ce1eda3ef49d68ecb1ed1d9fb83c798e826b25c	9acab409f5e89f36a7124612f37726a1f7e07204efcce930f2a6d40dbb5bd0bf	프론탈		프론탈	覗経纏		6	[]	imported	
STG0043/ID00003/000008	stage	STG0043	ID00003	8	01_스테이지 xlsx 모음/STG0043(25화B)-ID00003-script-통합.xlsx	88d1799d4360921dbc963e5c1ce1eda3ef49d68ecb1ed1d9fb83c798e826b25c	94cf14abe6194501706a5be5c53545c547466909253d183e77f33f35900ba98f	옛 공국군 최후의 보루 아바오아 쿠에		구 공국군 최후의 보루,아 바오아 쿠에	姥　因厩浦　置板税　左欠，焼　郊神焼　庭拭		42	[]	imported	
STG0043/ID00003/000009	stage	STG0043	ID00003	9	01_스테이지 xlsx 모음/STG0043(25화B)-ID00003-script-통합.xlsx	88d1799d4360921dbc963e5c1ce1eda3ef49d68ecb1ed1d9fb83c798e826b25c	79c4fd7559a6a6e60bfb619ca01418990c32e178386c4f41189f97b3a3f65480	이런 방이 있었대...		이런 방이 있었다고 하더군…	戚訓　号戚　赤醸陥壱　馬希浦…		30	[]	imported	
STG0043/ID00003/000010	stage	STG0043	ID00003	10	01_스테이지 xlsx 모음/STG0043(25화B)-ID00003-script-통합.xlsx	88d1799d4360921dbc963e5c1ce1eda3ef49d68ecb1ed1d9fb83c798e826b25c	9acab409f5e89f36a7124612f37726a1f7e07204efcce930f2a6d40dbb5bd0bf	프론탈		프론탈	覗経纏		6	[]	imported	
STG0043/ID00003/000011	stage	STG0043	ID00003	11	01_스테이지 xlsx 모음/STG0043(25화B)-ID00003-script-통합.xlsx	88d1799d4360921dbc963e5c1ce1eda3ef49d68ecb1ed1d9fb83c798e826b25c	a343675ad5f44165ae53f9748d9b3b137afea40bdc6735407b8d3c571e7d78e9	이 팔라우 총독은 구 지온공국의 열성적인 신파로 말이죠.		이 팔라우의 총독은 구 지온 공국의 열렬한	戚　独虞酔税　恥偽精　姥　走紳　因厩税　伸慶廃		46	[]	imported	
STG0043/ID00003/000012	stage	STG0043	ID00003	12	01_스테이지 xlsx 모음/STG0043(25화B)-ID00003-script-통합.xlsx	88d1799d4360921dbc963e5c1ce1eda3ef49d68ecb1ed1d9fb83c798e826b25c	23caf685c3bf89d3adcf1d3fe5979ad0414f0b62274641a14dfd1a5e7cc43bc0	남의 후의는 순순히 받아야 한다.		추종자라서 말이지.타인의 호의는 순순히	蓄曽切虞辞　源戚走．展昔税　硲税澗　授授備		42	[]	imported	
STG0043/ID00003/000013	stage	STG0043	ID00003	13	01_스테이지 xlsx 모음/STG0043(25화B)-ID00003-script-통합.xlsx	88d1799d4360921dbc963e5c1ce1eda3ef49d68ecb1ed1d9fb83c798e826b25c	f549a12c83ea3fd4531a97d2843623eb689dbd80af75aef71431fa083b4cc288	취미에 맞지 않아도 말이야		받아들여야 한다.취향에 맞지 않더라도 말이다	閤焼級食醤　廃陥．昼狽拭　限走　省希虞亀　源戚陥		48	[]	imported	
