entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0063/ID00003/000002	stage	STG0063	ID00003	2	01_스테이지 xlsx 모음/STG0063(40화B)-ID00003-script-통합.xlsx	0695a3a4c044b535d42ec3bf017ef7e23bed046cb9ec367e443dee18a34c94a8	990311841754c67e774034acd7ae12ccfd3adfc3ece6ddbf22eb4810b70c601d	아수라		아슈라	焼輯虞		6	[]	imported	
STG0063/ID00003/000003	stage	STG0063	ID00003	3	01_스테이지 xlsx 모음/STG0063(40화B)-ID00003-script-통합.xlsx	0695a3a4c044b535d42ec3bf017ef7e23bed046cb9ec367e443dee18a34c94a8	c5c7c6f9c84973ac63e453040535e9c044a02c96c6ecc3497125c9535c613692	때가 온다...		때가 온다…	凶亜　紳陥…		12	[]	imported	
STG0063/ID00003/000004	stage	STG0063	ID00003	4	01_스테이지 xlsx 모음/STG0063(40화B)-ID00003-script-통합.xlsx	0695a3a4c044b535d42ec3bf017ef7e23bed046cb9ec367e443dee18a34c94a8	990311841754c67e774034acd7ae12ccfd3adfc3ece6ddbf22eb4810b70c601d	아수라		아슈라	焼輯虞		6	[]	imported	
STG0063/ID00003/000005	stage	STG0063	ID00003	5	01_스테이지 xlsx 모음/STG0063(40화B)-ID00003-script-통합.xlsx	0695a3a4c044b535d42ec3bf017ef7e23bed046cb9ec367e443dee18a34c94a8	c5c7c6f9c84973ac63e453040535e9c044a02c96c6ecc3497125c9535c613692	때가 온다...		때가 온다…	凶亜　紳陥…		12	[]	imported	
STG0063/ID00003/000006	stage	STG0063	ID00003	6	01_스테이지 xlsx 모음/STG0063(40화B)-ID00003-script-통합.xlsx	0695a3a4c044b535d42ec3bf017ef7e23bed046cb9ec367e443dee18a34c94a8	990311841754c67e774034acd7ae12ccfd3adfc3ece6ddbf22eb4810b70c601d	아수라		아슈라	焼輯虞		6	[]	imported	
STG0063/ID00003/000007	stage	STG0063	ID00003	7	01_스테이지 xlsx 모음/STG0063(40화B)-ID00003-script-통합.xlsx	0695a3a4c044b535d42ec3bf017ef7e23bed046cb9ec367e443dee18a34c94a8	ec336c5ba167b670f6caacdf545473719646fb25633cabfbeb135d67ee02ccca	밤하늘의 별은 돌고, 곧 하늘에 도달한다		밤하늘의 별은 순환하고,곧 하늘에 닿는다	鴻馬潅税　紺精　授発馬壱，稲　馬潅拭　願澗陥		44	[]	imported	
STG0063/ID00003/000008	stage	STG0063	ID00003	8	01_스테이지 xlsx 모음/STG0063(40화B)-ID00003-script-통합.xlsx	0695a3a4c044b535d42ec3bf017ef7e23bed046cb9ec367e443dee18a34c94a8	990311841754c67e774034acd7ae12ccfd3adfc3ece6ddbf22eb4810b70c601d	아수라		아슈라	焼輯虞		6	[]	imported	
STG0063/ID00003/000009	stage	STG0063	ID00003	9	01_스테이지 xlsx 모음/STG0063(40화B)-ID00003-script-통합.xlsx	0695a3a4c044b535d42ec3bf017ef7e23bed046cb9ec367e443dee18a34c94a8	2e9ce1b43ff61f0ddd95645833585164a408e7cad51147cd250b018fd6693ff3	그때가 우리 생명의 최후…		그때가 우리 생명의 최후…	益凶亜　酔軒　持誤税　置板…		28	[]	imported	
STG0063/ID00003/000010	stage	STG0063	ID00003	10	01_스테이지 xlsx 모음/STG0063(40화B)-ID00003-script-통합.xlsx	0695a3a4c044b535d42ec3bf017ef7e23bed046cb9ec367e443dee18a34c94a8	990311841754c67e774034acd7ae12ccfd3adfc3ece6ddbf22eb4810b70c601d	아수라		아슈라	焼輯虞		6	[]	imported	
STG0063/ID00003/000011	stage	STG0063	ID00003	11	01_스테이지 xlsx 모음/STG0063(40화B)-ID00003-script-통합.xlsx	0695a3a4c044b535d42ec3bf017ef7e23bed046cb9ec367e443dee18a34c94a8	ef750af32437708c404e729526a57e43de4c5273ee54987aee28fa8da9972cee	그리고 그거는...		그리고,그것은…	益軒壱，益依精…		16	[]	imported	
