entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0080/ID00003/000004	stage	STG0080	ID00003	4	01_스테이지 xlsx 모음/STG0080(48화B)-ID00003-script-통합.xlsx	652c7811e0c7fa3bee3fb52c234cba1acb304b3cf222d7f26b52e4016affb85c	dfd6a59dc64cad13901ed3f385dce37ce2f7442587438410c12fb936500ecce1	~드래곤즈 하이브 격납고~		　　　　　　　～드래곤즈 하이브 격납고～	　　　　　　　～球掘逸綜　馬戚崎　維崖壱～		42	[]	imported	
STG0080/ID00003/000005	stage	STG0080	ID00003	5	01_스테이지 xlsx 모음/STG0080(48화B)-ID00003-script-통합.xlsx	652c7811e0c7fa3bee3fb52c234cba1acb304b3cf222d7f26b52e4016affb85c	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0080/ID00003/000006	stage	STG0080	ID00003	6	01_스테이지 xlsx 모음/STG0080(48화B)-ID00003-script-통합.xlsx	652c7811e0c7fa3bee3fb52c234cba1acb304b3cf222d7f26b52e4016affb85c	d8b186d4dda7d8d31423f33c0d88675e0a371cbb2aed30679ca9db6f9c9b3308	진정해 신지야!		진정해,신지!	遭舛背，重走！		14	[]	imported	
STG0080/ID00003/000007	stage	STG0080	ID00003	7	01_스테이지 xlsx 모음/STG0080(48화B)-ID00003-script-통합.xlsx	652c7811e0c7fa3bee3fb52c234cba1acb304b3cf222d7f26b52e4016affb85c	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0080/ID00003/000008	stage	STG0080	ID00003	8	01_스테이지 xlsx 모음/STG0080(48화B)-ID00003-script-통합.xlsx	652c7811e0c7fa3bee3fb52c234cba1acb304b3cf222d7f26b52e4016affb85c	2588845423f138c30413bb0ef93b90cfc1faa03128b97ce37388185ac45bba1a	놔주세요, 갑아 씨!		놓아 주세요,코우지 씨!	兜焼　爽室推，坪酔走　松！		26	[]	imported	
STG0080/ID00003/000009	stage	STG0080	ID00003	9	01_스테이지 xlsx 모음/STG0080(48화B)-ID00003-script-통합.xlsx	652c7811e0c7fa3bee3fb52c234cba1acb304b3cf222d7f26b52e4016affb85c	316172f62def7941a9e16471f4fe74dbb94f8a93bcd049b15c717d10640a271d	저는 아버지를 용서할 수 없어요!		저는 아버지를 용서할 수 없어요!	煽澗　焼獄走研　遂辞拝　呪　蒸嬢推！		36	[]	imported	
STG0080/ID00003/000010	stage	STG0080	ID00003	10	01_스테이지 xlsx 모음/STG0080(48화B)-ID00003-script-통합.xlsx	652c7811e0c7fa3bee3fb52c234cba1acb304b3cf222d7f26b52e4016affb85c	c0cef5a5cb41b06ebb757b4c6ffa2124f05b0ba3b653995e67d760c3c381af6e	타케루		타케루	展追欠		6	[]	imported	
STG0080/ID00003/000011	stage	STG0080	ID00003	11	01_스테이지 xlsx 모음/STG0080(48화B)-ID00003-script-통합.xlsx	652c7811e0c7fa3bee3fb52c234cba1acb304b3cf222d7f26b52e4016affb85c	2cab12f2264bfa1e67e9e812ebbf069d978463625edda5f9074df34d0547a5e7	이카리 사령은 너를 돕기위해 더미시스템을		이카리 사령관은 너를 돕기 위해 더미 시스템을	戚朝軒　紫敬淫精　格研　欺奄　是背　希耕　獣什奴聖		50	[]	imported	
STG0080/ID00003/000012	stage	STG0080	ID00003	12	01_스테이지 xlsx 모음/STG0080(48화B)-ID00003-script-통합.xlsx	652c7811e0c7fa3bee3fb52c234cba1acb304b3cf222d7f26b52e4016affb85c	483aa06ab8d6e33090538f5350d998f1d058b0103784197ae3c65719d644744a	썼구나!		사용했어!	紫遂梅嬢！		10	[]	imported	
STG0080/ID00003/000013	stage	STG0080	ID00003	13	01_스테이지 xlsx 모음/STG0080(48화B)-ID00003-script-통합.xlsx	652c7811e0c7fa3bee3fb52c234cba1acb304b3cf222d7f26b52e4016affb85c	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
