entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0044a/ID00003/000004	stage	STG0044a	ID00003	4	01_스테이지 xlsx 모음/STG0044a(26화B)-ID00003-script-통합.xlsx	01891b989d4b0f050ed56be9a1e03dc64043e92b5ab626b80bed7074c9354ad9	e55fb77d95cc837aaa2f7db922eeecbd725f0e670f41a60fdd1159d1994d77e3	~라카이람 브리핑룸~		　　　　～라・카이람 브리핑룸～	　　　　～虞・朝戚寓　崎軒芭結～		32	[]	imported	
STG0044a/ID00003/000005	stage	STG0044a	ID00003	5	01_스테이지 xlsx 모음/STG0044a(26화B)-ID00003-script-통합.xlsx	01891b989d4b0f050ed56be9a1e03dc64043e92b5ab626b80bed7074c9354ad9	312cbf08471d115ce4c64d4d13c26244573ad89cf655bedb2fe047a3fe92fb5f	브라이트		브라이트	崎虞戚闘		8	[]	imported	
STG0044a/ID00003/000006	stage	STG0044a	ID00003	6	01_스테이지 xlsx 모음/STG0044a(26화B)-ID00003-script-통합.xlsx	01891b989d4b0f050ed56be9a1e03dc64043e92b5ab626b80bed7074c9354ad9	2092ab2e59b9c440ae2435fb481cda73963c62539c0a7343af0c4f8a7270d8c6	해서웨이...		하사웨이…	馬紫裾戚…		10	[]	imported	
STG0044a/ID00003/000007	stage	STG0044a	ID00003	7	01_스테이지 xlsx 모음/STG0044a(26화B)-ID00003-script-통합.xlsx	01891b989d4b0f050ed56be9a1e03dc64043e92b5ab626b80bed7074c9354ad9	19c2b85b1fa6f8bfc2cd9be47b26ac8507a59b65dbb392d267c1c8693d66392f	해서웨이		하사웨이	馬紫裾戚		8	[]	imported	
STG0044a/ID00003/000008	stage	STG0044a	ID00003	8	01_스테이지 xlsx 모음/STG0044a(26화B)-ID00003-script-통합.xlsx	01891b989d4b0f050ed56be9a1e03dc64043e92b5ab626b80bed7074c9354ad9	d5be322586beba5f0a8149978c7151d69b1de45e5e39b0245061120100a1dde2	으...!		으…！	生…！		6	[]	imported	
STG0044a/ID00003/000009	stage	STG0044a	ID00003	9	01_스테이지 xlsx 모음/STG0044a(26화B)-ID00003-script-통합.xlsx	01891b989d4b0f050ed56be9a1e03dc64043e92b5ab626b80bed7074c9354ad9	312cbf08471d115ce4c64d4d13c26244573ad89cf655bedb2fe047a3fe92fb5f	브라이트		브라이트	崎虞戚闘		8	[]	imported	
STG0044a/ID00003/000010	stage	STG0044a	ID00003	10	01_스테이지 xlsx 모음/STG0044a(26화B)-ID00003-script-통합.xlsx	01891b989d4b0f050ed56be9a1e03dc64043e92b5ab626b80bed7074c9354ad9	63082e82681f16499e96f47df607814c6905ba2b18ef31144cb9b265f913db92	너까지 전쟁터에 나왔다면,		네가 전장에 나오면,	革亜　穿舌拭　蟹神檎，		22	[]	imported	
STG0044a/ID00003/000011	stage	STG0044a	ID00003	11	01_스테이지 xlsx 모음/STG0044a(26화B)-ID00003-script-통합.xlsx	01891b989d4b0f050ed56be9a1e03dc64043e92b5ab626b80bed7074c9354ad9	da4374ad548bc443a63d34f0f227dd2cb23fde51e4b5479c51d9c2e1cea8f546	엄마랑 채민이는 어떻게 돼?		어머니와 체밍은 어떻게 되겠느냐?	嬢袴艦人　端講精　嬢胸惟　鞠畏汗劃？		36	[]	imported	
STG0044a/ID00003/000012	stage	STG0044a	ID00003	12	01_스테이지 xlsx 모음/STG0044a(26화B)-ID00003-script-통합.xlsx	01891b989d4b0f050ed56be9a1e03dc64043e92b5ab626b80bed7074c9354ad9	312cbf08471d115ce4c64d4d13c26244573ad89cf655bedb2fe047a3fe92fb5f	브라이트		브라이트	崎虞戚闘		8	[]	imported	
STG0044a/ID00003/000013	stage	STG0044a	ID00003	13	01_스테이지 xlsx 모음/STG0044a(26화B)-ID00003-script-통합.xlsx	01891b989d4b0f050ed56be9a1e03dc64043e92b5ab626b80bed7074c9354ad9	69716eefd039a865d01cc8cddaff8ae97dfa70880a6bb9ff47f561813dbbcefc	저런 엉뚱한 짓을 시키기 위해서		그런 무모한 짓을 시키려고	益訓　巷乞廃　憎聖　獣徹形壱		28	[]	imported	
