entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0087/ID00003/000004	stage	STG0087	ID00003	4	01_스테이지 xlsx 모음/STG0087(53화A)-ID00003-script-통합.xlsx	fc2c6d205c8d27d01aa0286e33afeccd989fb3aa6386f8cc2ff2ec53869724c3	dfd6a59dc64cad13901ed3f385dce37ce2f7442587438410c12fb936500ecce1	~드래곤즈 하이브 격납고~		　　　　　　　～드래곤즈 하이브 격납고～	　　　　　　　～球掘逸綜　馬戚崎　維崖壱～		42	[]	imported	
STG0087/ID00003/000005	stage	STG0087	ID00003	5	01_스테이지 xlsx 모음/STG0087(53화A)-ID00003-script-통합.xlsx	fc2c6d205c8d27d01aa0286e33afeccd989fb3aa6386f8cc2ff2ec53869724c3	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0087/ID00003/000006	stage	STG0087	ID00003	6	01_스테이지 xlsx 모음/STG0087(53화A)-ID00003-script-통합.xlsx	fc2c6d205c8d27d01aa0286e33afeccd989fb3aa6386f8cc2ff2ec53869724c3	d06526b7105e5e18e97b61270ea2acc875d634e08204012c0e658db167a3bdac	준비는 되었느냐, 너희들!		준비는 됐냐,너희들！	層搾澗　菊劃，格費級！		22	[]	imported	
STG0087/ID00003/000007	stage	STG0087	ID00003	7	01_스테이지 xlsx 모음/STG0087(53화A)-ID00003-script-통합.xlsx	fc2c6d205c8d27d01aa0286e33afeccd989fb3aa6386f8cc2ff2ec53869724c3	91e7efde29e45aaea6c9f86f3dd2926088b08dd85288c91ad4bc62f4bc449d45	순식간에 그 우주마왕이란 놈을 쓰러뜨리러 가겠어!		얼른 그 우주마왕이라는 놈을 쓰러뜨리러 가자고！	杖献　益　酔爽原腎戚虞澗　叶聖　床君襟軒君　亜切壱！		52	[]	imported	
STG0087/ID00003/000008	stage	STG0087	ID00003	8	01_스테이지 xlsx 모음/STG0087(53화A)-ID00003-script-통합.xlsx	fc2c6d205c8d27d01aa0286e33afeccd989fb3aa6386f8cc2ff2ec53869724c3	77ecd82a49bb1af43ee55410c3504d77a6e47e801b68ed6e271c630d4a192de1	아오이		아오이	焼神戚		6	[]	imported	
STG0087/ID00003/000009	stage	STG0087	ID00003	9	01_스테이지 xlsx 모음/STG0087(53화A)-ID00003-script-통합.xlsx	fc2c6d205c8d27d01aa0286e33afeccd989fb3aa6386f8cc2ff2ec53869724c3	ff3a2a22b5b556a89d1695e9ba8270ace099274b68d2a3b74ef26e8e3e1c7303	있잖아.. 팽팽한건 좋은데...		저기…의욕 넘치는 건 좋은데…	煽奄…税水　角帖澗　闇　疏精汽…		32	[]	imported	
STG0087/ID00003/000010	stage	STG0087	ID00003	10	01_스테이지 xlsx 모음/STG0087(53화A)-ID00003-script-통합.xlsx	fc2c6d205c8d27d01aa0286e33afeccd989fb3aa6386f8cc2ff2ec53869724c3	207055879a2374f1c00f0a7c7be59ec2c012cc66193ac85e7d00cefc329460ad	구라라		쿠라라	庭虞虞		6	[]	imported	
STG0087/ID00003/000011	stage	STG0087	ID00003	11	01_스테이지 xlsx 모음/STG0087(53화A)-ID00003-script-통합.xlsx	fc2c6d205c8d27d01aa0286e33afeccd989fb3aa6386f8cc2ff2ec53869724c3	50a74d010965ecc321772921ec586602a106f4a3bdadec20263cd297eac35cc5	너... 우주마왕에 대해 알고 있니?		너…우주마왕에 대해 알고 있는 거야？	格…酔爽原腎拭　企背　硝壱　赤澗　暗醤？		40	[]	imported	
STG0087/ID00003/000012	stage	STG0087	ID00003	12	01_스테이지 xlsx 모음/STG0087(53화A)-ID00003-script-통합.xlsx	fc2c6d205c8d27d01aa0286e33afeccd989fb3aa6386f8cc2ff2ec53869724c3	eef42e86dad533ab1f2bc87e20f162b7ebb7e9780fab90d7a8804772782e1ecc	카구라		카구라	朝姥虞		6	[]	imported	
STG0087/ID00003/000013	stage	STG0087	ID00003	13	01_스테이지 xlsx 모음/STG0087(53화A)-ID00003-script-통합.xlsx	fc2c6d205c8d27d01aa0286e33afeccd989fb3aa6386f8cc2ff2ec53869724c3	3e757bc5e955429f59a723c8678a50c2b70c8f0e4291d85c2ecefbc23d8eca7e	요컨대 잘난 체하는 놈이고 적이지?		요컨대 잘난 척하는 녀석이고 적이잖아？	推珍企　設貝　担馬澗　橿汐戚壱　旋戚摂焼？		42	[]	imported	
