entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0037/ID00003/000004	stage	STG0037	ID00003	4	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	bb6a781b232d40f84a6e7124dfed66024fef998f2e39dadce38c476b02c48b5f	~라 카이람 격납고~		　　　　　　　～라・카이람 격납고～	　　　　　　　～虞・朝戚寓　維崖壱～		36	[]	imported	
STG0037/ID00003/000005	stage	STG0037	ID00003	5	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	b36cd8018c110f113a367f9d832d2b74705bd2e47d755b38ef810a92c5bbbe07	버나지		버나지	獄蟹走		6	[]	imported	
STG0037/ID00003/000006	stage	STG0037	ID00003	6	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	bdb89b3ede0639f77355d1aa07dfa43f731e3026d7463e15f05770d811477f4b	(풀 프론탈이라고 하는 사람은)		(풀・프론탈이라는 사람은	（熱・覗経纏戚虞澗　紫寓精		26	[]	imported	
STG0037/ID00003/000007	stage	STG0037	ID00003	7	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	faf77368f0dfcfe0df91155f60eeb403cbf555e0dfdc1862f425d915dad28256	유니콘에 숨겨져 있는 라플라스의 상자라는 것을		유니콘에 숨겨져 있는 라플라스의 상자라는 것을	政艦嬬拭　需移閃　赤澗　虞巴虞什税　雌切虞澗　依聖		50	[]	imported	
STG0037/ID00003/000008	stage	STG0037	ID00003	8	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	2919a2a2c38d35cb42402e41b5944ebed28573f7030f96eb8573d94f5d3247e8	갖고싶어해...)		원하고 있어…)	据馬壱　赤嬢…）		16	[]	imported	
STG0037/ID00003/000009	stage	STG0037	ID00003	9	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	b36cd8018c110f113a367f9d832d2b74705bd2e47d755b38ef810a92c5bbbe07	버나지		버나지	獄蟹走		6	[]	imported	
STG0037/ID00003/000010	stage	STG0037	ID00003	10	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	c6002c00068249eac573a6bc587a24572a639ca78a02500abc718e558f14d01f	(카디아스 비스트가... 아버지가		(카디아스・비스트가…아버지가	（朝巨焼什・搾什闘亜…焼獄走亜		30	[]	imported	
STG0037/ID00003/000011	stage	STG0037	ID00003	11	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	013b80062ec603a78f45e8b5eefdfaadb0dea7000e07d189798b9d3ac17d64a4	유니콘을 네오지온에게 전달하려고 했던 것은,		유니콘을 네오・지온에 넘겨주려고 했던 것은	政艦嬬聖　革神・走紳拭　角移爽形壱　梅揮　依精		46	[]	imported	
STG0037/ID00003/000012	stage	STG0037	ID00003	12	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	b507abefa442c0c461778dd27f914229ee23c16e6c99a47c316439b745e4605e	그 상자에 관계되어 있다...?)		그 상자와 관련이 있는 건가…?)	益　雌切人　淫恵戚　赤澗　闇亜…？）		36	[]	imported	
STG0037/ID00003/000013	stage	STG0037	ID00003	13	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	b36cd8018c110f113a367f9d832d2b74705bd2e47d755b38ef810a92c5bbbe07	버나지		버나지	獄蟹走		6	[]	imported	
STG0037/ID00003/000014	stage	STG0037	ID00003	14	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	fd0e247251f87493136e1b7a90e01ff42db5da6920fbab362491f2d7237cce5c	(그리고 오드리가 비스트재단을 방문한것은		(그리고 오드리가 비스트 재단을 방문한 것은	（益軒壱　神球軒亜　搾什闘　仙舘聖　号庚廃　依精		48	[]	imported	
STG0037/ID00003/000015	stage	STG0037	ID00003	15	01_스테이지 xlsx 모음/STG0037(25화A)-ID00003-script-통합.xlsx	dc550793fa999613bc40aab77f903038bd6c9bd17f031aafdb3d95e2ad04ca39	d366215a6737ae228d4e0adeb6ce75ce9c17ad551eecfea120f84ef7e70313c1	그걸 막으려다가..)		그것을 저지하려고 해서…)	益依聖　煽走馬形壱　背辞…）		28	[]	imported	
