entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0067/ID00003/000004	stage	STG0067	ID00003	4	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	17758ccede6e07be2e7bcb97f447972cfae817b4710c568341393692d0343429	~프톨레마이오스 2개 격납고~		　　　　　　～프톨레마이오스2개 격납고～	　　　　　　～覗島傾原戚神什２鯵　維崖壱～		42	[]	imported	
STG0067/ID00003/000005	stage	STG0067	ID00003	5	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	978751bebc539da9ce9239799d48d5b34742853a288935b2805be87028b975d3	바닐라		바닐라	郊諌虞		6	[]	imported	
STG0067/ID00003/000006	stage	STG0067	ID00003	6	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	c1c7c639510b08a8cf28abafc5a45887293291520858f7dcff6e1c9628a22202	요, 소스케!		어이,소스케!	嬢戚，社什追！		14	[]	imported	
STG0067/ID00003/000007	stage	STG0067	ID00003	7	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	7acd3ca9faf1b3f69a807320ba1ccf8b7502432da7b34491d86643f59a39488d	너도 키리코(キリコの) 도와주러 온 거야?		너도 키리코를 도우러 온 거야?	格亀　徹軒坪研　亀酔君　紳　暗醤？		34	[]	imported	
STG0067/ID00003/000008	stage	STG0067	ID00003	8	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
STG0067/ID00003/000009	stage	STG0067	ID00003	9	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0067/ID00003/000010	stage	STG0067	ID00003	10	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	932d10e78cea6063a5aad35cf416b048f8f814982d1c25f5eb99f5d6dd508ca7	코코나		코코나	坪坪蟹		6	[]	imported	
STG0067/ID00003/000011	stage	STG0067	ID00003	11	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	40e245f2fbeba9b8013e362a239ec1af014ebe5de5de5bda5e0d9a4e49806e8c	올 거면 더 빨리 와.		올 거면 좀 더 일찍 오지	臣　暗檎　岨　希　析啄　神走		28	[]	imported	
STG0067/ID00003/000012	stage	STG0067	ID00003	12	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	6121411b707c6def79868c3281bd1d8bf10e1c1ca16969fadeae3b40718fec7b	이제 작업은 거의 끝나버렸으니까		이미 작업은 거의 끝났는데	戚耕　拙穣精　暗税　魁概澗汽		28	[]	imported	
STG0067/ID00003/000013	stage	STG0067	ID00003	13	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
STG0067/ID00003/000014	stage	STG0067	ID00003	14	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	b99bb241f211fa345a51165ba950e326f06c9a93a3e7dc5c830b351d5b78f2ee	이것이 스코프 도그의 커스텀 베리에이션인가…		이게 스코프독의 커스텀 바리에이션인가…	戚惟　什坪覗偽税　朕什賭　郊軒拭戚芝昔亜…		42	[]	imported	
STG0067/ID00003/000015	stage	STG0067	ID00003	15	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	600e3f050ef8a90af78afbeb044eafb7e2bd1e0040da0cce45094b9396d148f2	고우토		고토	壱塘		4	[]	imported	
STG0067/ID00003/000016	stage	STG0067	ID00003	16	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	4a0a62e364ffc66b5e901f6968a8a2aa76bf5604c4668bff1799b9a6e5bb7878	통칭 버그래리 도그.		통칭,버글래리 독	搭暢，獄越掘軒　偽		18	[]	imported	
STG0067/ID00003/000017	stage	STG0067	ID00003	17	01_스테이지 xlsx 모음/STG0067(39화C)-ID00003-script-통합.xlsx	e80ff70252dabb298a1cbeaad422f1c8ef1ebab7585644cc80a4b4aff4c70aef	fc4f3db8266e29ad8215bcb8663bdb8eac4dbc913fe33c4ff957ae79a56f1ec7	황무지에서의 주파성이 우수하고 전면 및 상면에 대한		황무지에서의 주파성이 뛰어나고,전면 및 상면에	伐巷走拭辞税　爽督失戚　禽嬢蟹壱，穿檎　貢　雌檎拭		50	[]	imported	
