entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0306/ID00003/000004	dlc	DLC0306	ID00003	4	!DLC/DLC0306_cpk/DLC0306(DLC-06)-ID00003-script-통합.xlsx	868ba6eaf3562bd8616b043c206913fcea72e30562760481c79f8e1cee5092ff	a173c668906f6f4c9f87323cbbb82c70f2ed9f208c2a624f74feb49ffc924cb7	~마크로스 쿼터 브리핑룸~		　　～마크로스・쿼터 브리핑룸～	　　～原滴稽什・汀斗　崎軒芭結～		32	[]	imported	
DLC0306/ID00003/000005	dlc	DLC0306	ID00003	5	!DLC/DLC0306_cpk/DLC0306(DLC-06)-ID00003-script-통합.xlsx	868ba6eaf3562bd8616b043c206913fcea72e30562760481c79f8e1cee5092ff	50ed163452aa7c918c13cd7a34d1127d9206f817e8d561c83719af230cec2266	미코노		미코노	耕坪葛		6	[]	imported	
DLC0306/ID00003/000006	dlc	DLC0306	ID00003	6	!DLC/DLC0306_cpk/DLC0306(DLC-06)-ID00003-script-통합.xlsx	868ba6eaf3562bd8616b043c206913fcea72e30562760481c79f8e1cee5092ff	78a84f5a736e56e34a03226cf74f02e6a718500c4da3438833c5fb277d3b6870	아마타군의 에치!		아마타 군의 야한 짓!	焼原展　浦税　醤廃　憎！		24	[]	imported	
DLC0306/ID00003/000007	dlc	DLC0306	ID00003	7	!DLC/DLC0306_cpk/DLC0306(DLC-06)-ID00003-script-통합.xlsx	868ba6eaf3562bd8616b043c206913fcea72e30562760481c79f8e1cee5092ff	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
DLC0306/ID00003/000008	dlc	DLC0306	ID00003	8	!DLC/DLC0306_cpk/DLC0306(DLC-06)-ID00003-script-통합.xlsx	868ba6eaf3562bd8616b043c206913fcea72e30562760481c79f8e1cee5092ff	c2c391e1832f5323ff86008210ca800ed2466bfc02b4ca979a8d530cc9f85fea	치, 아니구나, 미코노 씨!		차,차이가 난다고,미코노 씨!	託，託戚亜　貝陥壱，耕坪葛　松！		32	[]	imported	
DLC0306/ID00003/000009	dlc	DLC0306	ID00003	9	!DLC/DLC0306_cpk/DLC0306(DLC-06)-ID00003-script-통합.xlsx	868ba6eaf3562bd8616b043c206913fcea72e30562760481c79f8e1cee5092ff	c333469c2f17a1c2f0b869c074f6891f1faa4a27430b7e05d958b79e3c64f010	미코노씨!!		미코노 씨ー!	耕坪葛　松ー！		14	[]	imported	
DLC0306/ID00003/000010	dlc	DLC0306	ID00003	10	!DLC/DLC0306_cpk/DLC0306(DLC-06)-ID00003-script-통합.xlsx	868ba6eaf3562bd8616b043c206913fcea72e30562760481c79f8e1cee5092ff	9f6eb77d0cdcada3c71fcdb67d8f4d15f15485eb3534fa9b6669026eaa997fec	카밀		카미유	朝耕政		6	[]	imported	
DLC0306/ID00003/000011	dlc	DLC0306	ID00003	11	!DLC/DLC0306_cpk/DLC0306(DLC-06)-ID00003-script-통합.xlsx	868ba6eaf3562bd8616b043c206913fcea72e30562760481c79f8e1cee5092ff	be5fca47a5a2061f9f271dd4c3b4dc3ddcd163ec49880783b1771563a770b810	뭐 하는 거야, 저 두 사람?		무엇을 하고 있는 거야,저 두 사람?	巷譲聖　馬壱　赤澗　暗醤，煽　砧　紫寓？		40	[]	imported	
DLC0306/ID00003/000012	dlc	DLC0306	ID00003	12	!DLC/DLC0306_cpk/DLC0306(DLC-06)-ID00003-script-통합.xlsx	868ba6eaf3562bd8616b043c206913fcea72e30562760481c79f8e1cee5092ff	64f70b5e23bef871c11a8d3a3c5d2f15561ebe73b1a9405d77589e7bdd5439c3	사잔카		사잔카	紫接朝		6	[]	imported	
DLC0306/ID00003/000013	dlc	DLC0306	ID00003	13	!DLC/DLC0306_cpk/DLC0306(DLC-06)-ID00003-script-통합.xlsx	868ba6eaf3562bd8616b043c206913fcea72e30562760481c79f8e1cee5092ff	5c2c76dfdfe383250d4f7c9cce2f3bc6a8a8faabc3c184071ac2681416014a99	아마타가 분실물을 주우려고 몸을 굽히고,		아마타가 떨어뜨린 물건을 주우려고 몸을 숙였다가	焼原展亜　恭嬢襟鍵　弘闇聖　爽酔形壱　倖聖　寿心陥亜		52	[]	imported	
