entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0241-21화후A분기/ID00003/000002	stage	STG0241-21화후A분기	ID00003	2	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0241-21화후A분기/ID00003/000003	stage	STG0241-21화후A분기	ID00003	3	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0241-21화후A분기/ID00003/000006	stage	STG0241-21화후A분기	ID00003	6	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~		　　　　　　　　　　～D트레이더～	　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0241-21화후A분기/ID00003/000007	stage	STG0241-21화후A분기	ID00003	7	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0241-21화후A분기/ID00003/000008	stage	STG0241-21화후A분기	ID00003	8	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	2123058de5b7432b71a54874934e329dc5a5e35c74a8db380cf5ec864690a97b	자, 자, $n님들은		자,$n님들은	切，$ｎ還級精		14	"[""$n""]"	imported	
STG0241-21화후A분기/ID00003/000009	stage	STG0241-21화후A분기	ID00003	9	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	99f210798b067b0995a883694c327e8047093b4f6376e3f4c261e67e3cb2b482	우주로 올라간다고 하네요		우주로 올라간다고 하네요	酔爽稽　臣虞娃陥壱　馬革推		26	[]	imported	
STG0241-21화후A분기/ID00003/000010	stage	STG0241-21화후A분기	ID00003	10	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0241-21화후A분기/ID00003/000011	stage	STG0241-21화후A분기	ID00003	11	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	15d211c3f2b6b8867165e938582763b0defbda7b14b6637f49eac312632a9f74	옛 동료인 샤아 아즈나블과의 싸움.		옛 동료인 샤아・아즈나블과의 싸움… 이것은	疹　疑戟昔　時焼・焼綜蟹鷺引税　塾崇…　戚依精		46	[]	imported	
STG0241-21화후A분기/ID00003/000012	stage	STG0241-21화후A분기	ID00003	12	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	e72edabb641e47f7c9b87f32857eb8141152236e4756ffb97e073e0d415aa4cd	이건 정말이지 Z칩 획득의 기대가 높아집니다!		더욱 Z칩 획득에 대한 기대가 높아집니다！	希錐　Ｚ懲　塙究拭　企廃　奄企亜　株焼増艦陥！		46	[]	imported	
STG0241-21화후A분기/ID00003/000013	stage	STG0241-21화후A분기	ID00003	13	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0241-21화후A분기/ID00003/000014	stage	STG0241-21화후A분기	ID00003	14	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	98d514cffc6f0c7e1f5b24d1f1bc24ffea657b8d04354708796584e0435673cd	그런 까닭에 기합을 넣읍시다!		그런 이유로 기합을 넣읍시다！	益訓　戚政稽　奄杯聖　隔西獣陥！		32	[]	imported	
STG0241-21화후A분기/ID00003/000015	stage	STG0241-21화후A분기	ID00003	15	01_스테이지 xlsx 모음/STG0241(21화후A분기)-ID00003-script-통합.xlsx	9387232214d46b6be1e4f5d34894eeeb69f71e2af594efde2713c11879678b6b	06a64aa4b35d8234e8e14ed09c5824e1b21226dd824e493f893f4293243954be	오늘도 파이팅... 장사, 장사!		오늘도 힘내서…장사,장사！	神潅亀　毘鎧辞…舌紫，舌紫！		28	[]	imported	
