entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0009/ID00003/000004	stage	STG0009	ID00003	4	01_스테이지 xlsx 모음/STG0009(7화)-ID00003-script-통합.xlsx	201442106d98949f0209e46c1d0366857c75f8f60a732e79223509e0a15e15c0	94fc6ea3616e1691f177bc1b85c71350fca6934acdd7d413394bd1e6db2bfe53	~투아하 데 다낭 발령소~	　　　　　～투아하 데 다난　사령실～	　　　　　～투아하 데 다난　사령실～	　　　　　～燈焼馬　汽　陥貝　紫敬叔～		38	[]	imported	
STG0009/ID00003/000005	stage	STG0009	ID00003	5	01_스테이지 xlsx 모음/STG0009(7화)-ID00003-script-통합.xlsx	201442106d98949f0209e46c1d0366857c75f8f60a732e79223509e0a15e15c0	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사	텟사	텟사	倒紫		4	[]	imported	
STG0009/ID00003/000006	stage	STG0009	ID00003	6	01_스테이지 xlsx 모음/STG0009(7화)-ID00003-script-통합.xlsx	201442106d98949f0209e46c1d0366857c75f8f60a732e79223509e0a15e15c0	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………	………	………	………		6	[]	imported	
STG0009/ID00003/000007	stage	STG0009	ID00003	7	01_스테이지 xlsx 모음/STG0009(7화)-ID00003-script-통합.xlsx	201442106d98949f0209e46c1d0366857c75f8f60a732e79223509e0a15e15c0	b0dc4d1729d1887ff6430934ded7866c8f2b19242133584c6bfa23d6eef0c362	마듀카스	마듀커스	마듀커스	原朽朕什		8	[]	imported	
STG0009/ID00003/000008	stage	STG0009	ID00003	8	01_스테이지 xlsx 모음/STG0009(7화)-ID00003-script-통합.xlsx	201442106d98949f0209e46c1d0366857c75f8f60a732e79223509e0a15e15c0	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………	………	………	………		6	[]	imported	
STG0009/ID00003/000009	stage	STG0009	ID00003	9	01_스테이지 xlsx 모음/STG0009(7화)-ID00003-script-통합.xlsx	201442106d98949f0209e46c1d0366857c75f8f60a732e79223509e0a15e15c0	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4	칼리닌	칼리닌	칼리닌	町軒観		6	[]	imported	
STG0009/ID00003/000010	stage	STG0009	ID00003	10	01_스테이지 xlsx 모음/STG0009(7화)-ID00003-script-통합.xlsx	201442106d98949f0209e46c1d0366857c75f8f60a732e79223509e0a15e15c0	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………	………	………	………		6	[]	imported	
STG0009/ID00003/000011	stage	STG0009	ID00003	11	01_스테이지 xlsx 모음/STG0009(7화)-ID00003-script-통합.xlsx	201442106d98949f0209e46c1d0366857c75f8f60a732e79223509e0a15e15c0	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사	텟사	텟사	倒紫		4	[]	imported	
STG0009/ID00003/000012	stage	STG0009	ID00003	12	01_스테이지 xlsx 모음/STG0009(7화)-ID00003-script-통합.xlsx	201442106d98949f0209e46c1d0366857c75f8f60a732e79223509e0a15e15c0	0a98e605aa2bf8d9a6a6ca0ba5e3b6e4fa0ae7592d82635f7b853d22b9da2bc3	… 사가라 군조들… 이제 수학여행에 출발할 무렵이군요	…사가라 군조들… 곧 수학여행 출발할 시간이네요.	…사가라 군조들… 곧 수학여행 출발할 시간이네요.	紫亜虞　浦繕級…　稲　呪俳食楳　窒降拝　獣娃戚革推．		52	[]	imported	
STG0009/ID00003/000013	stage	STG0009	ID00003	13	01_스테이지 xlsx 모음/STG0009(7화)-ID00003-script-통합.xlsx	201442106d98949f0209e46c1d0366857c75f8f60a732e79223509e0a15e15c0	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4	칼리닌	칼리닌	칼리닌	町軒観		6	[]	imported	
