entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0307/ID00003/000004	dlc	DLC0307	ID00003	4	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	~마크로스 쿼터 격납고~		　　　　　　～마크로스・쿼터　격납고～	　　　　　　～原滴稽什・汀斗　維崖壱～		38	[]	imported	
DLC0307/ID00003/000005	dlc	DLC0307	ID00003	5	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0307/ID00003/000006	dlc	DLC0307	ID00003	6	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	aaf4818024e881ffc912f406664bc7f0c9e4811702f0912a046c2989a9a2536b	야, 쇼타로...		저기,쇼타로…	煽奄，珠展稽…		14	[]	imported	
DLC0307/ID00003/000007	dlc	DLC0307	ID00003	7	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	cd5d49475453c0088146386f70afe4bdc6ca293f8fcf9a408e99990ae82899f2	지난주 산수 숙제 다 했어?		지난주 산수 숙제,벌써 끝났어?	走貝爽　至呪　寿薦，忽潤　魁概嬢？		34	[]	imported	
DLC0307/ID00003/000008	dlc	DLC0307	ID00003	8	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
DLC0307/ID00003/000009	dlc	DLC0307	ID00003	9	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	09993e774110d20e4f78c04f90981104c8b6382bb2c828dab6977f5cd6ca821c	당연하잖아.		당연하잖아	雁尻馬摂焼		10	[]	imported	
DLC0307/ID00003/000010	dlc	DLC0307	ID00003	10	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	ed8eb45544c357f9273469f6b4f3992d99c387173fbf60a5cc98b2761be1d765	어라, 내일이면 제출이니까		그거,내일까지 제출해야 하니까	益暗，鎧析猿走　薦窒背醤　馬艦猿		32	[]	imported	
DLC0307/ID00003/000011	dlc	DLC0307	ID00003	11	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
DLC0307/ID00003/000012	dlc	DLC0307	ID00003	12	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	e35853910e432ccd3965e87085a85778baf9c19ad5e379ee3da836ff6d5bda8b	설마, 와타... 아직 안 했어?		설마,왓타… 아직 안 했어?	竺原，甚展…　焼送　照　梅嬢？		30	[]	imported	
DLC0307/ID00003/000013	dlc	DLC0307	ID00003	13	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0307/ID00003/000014	dlc	DLC0307	ID00003	14	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	d431d886c5d9b4ab087b176d818ff817ff78d85ed71eb16a878751f1c6630315	잠깐 회사 서류를 훑어 봐야겠다		좀 회사 서류를 봐야	岨　噺紫　辞嫌研　坐醤		22	[]	imported	
DLC0307/ID00003/000015	dlc	DLC0307	ID00003	15	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	6edcda33d62f69edadb3617419ba82f418ad8169f3399ee40bac6fd5acd0c7c0	못 가서...		해서…	背辞…		6	[]	imported	
DLC0307/ID00003/000016	dlc	DLC0307	ID00003	16	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
DLC0307/ID00003/000017	dlc	DLC0307	ID00003	17	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	a381ba298d8e898d67ac772bcdf451547f0da3cbe1e05b69ff0aa8a9d72670e5	정말 회사 일이 있었구나?		정말 회사 일이 있었던 거야?	舛源　噺紫　析戚　赤醸揮　暗醤？		32	[]	imported	
DLC0307/ID00003/000018	dlc	DLC0307	ID00003	18	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0307/ID00003/000019	dlc	DLC0307	ID00003	19	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	a7de3ba6226e0601b322ef5f5103ed6968c8e99931ffd647b69d10bb3d360e45	으, 음...		으,응…	生，誓…		8	[]	imported	
DLC0307/ID00003/000020	dlc	DLC0307	ID00003	20	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
DLC0307/ID00003/000021	dlc	DLC0307	ID00003	21	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	01e93dbc315503e421d2631e79ca3752d8c2612ca2e1d1164329e04eadeeae58	거짓말이 아니구나?		거짓말 아니지?	暗憎源　焼艦走？		16	[]	imported	
DLC0307/ID00003/000022	dlc	DLC0307	ID00003	22	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0307/ID00003/000023	dlc	DLC0307	ID00003	23	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	db49d39fbfd0ced51d7a1438193006945ec9b12935feff64e1cc3705cab9cdb4	남자, 타케오 와타!		남자,타케오 왓타!	害切，展追神　甚展！		20	[]	imported	
DLC0307/ID00003/000024	dlc	DLC0307	ID00003	24	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	7cc9af1229c24286f04b8160a09c96fac768017a4a01e1cbc36710fb56bd521c	거짓말과 비겁은 정말 싫다구!		거짓말과 비겁한 짓은 정말 싫어한다고!	暗憎源引　搾位廃　憎精　舛源　夙嬢廃陥壱！		42	[]	imported	
DLC0307/ID00003/000025	dlc	DLC0307	ID00003	25	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
DLC0307/ID00003/000026	dlc	DLC0307	ID00003	26	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	bbfab2d33343ba4a7d808c3a79b97c93cd5ea2819514414cc07e7fc3bb9a52c7	알아, 와타(ワッ太).		알고 있어,왓타	硝壱　赤嬢，甚展		16	[]	imported	
DLC0307/ID00003/000027	dlc	DLC0307	ID00003	27	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	42f096aae563272abae72b5b7204bd712b067796d4ec2cc142407af22a32ef04	잠깐 확인해 본 것 뿐이니까		좀 확인해 본 것뿐이니까	岨　溌昔背　沙　依屍戚艦猿		26	[]	imported	
DLC0307/ID00003/000028	dlc	DLC0307	ID00003	28	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
DLC0307/ID00003/000029	dlc	DLC0307	ID00003	29	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	b13aba3d17b8126413e2c31144b7b641d3de9d7ae17a6ea183b2fc4b8bed1f19	그런 사정이 있었다면 어쩔 수 없지.		그런 사정이 있었다면 어쩔 수 없지	益訓　紫舛戚　赤醸陥檎　嬢多　呪　蒸走		38	[]	imported	
DLC0307/ID00003/000030	dlc	DLC0307	ID00003	30	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	f8b3bcacb9b6ebac8252a2ce800f8646f020bf1c1512bc92805c8c22ab738e66	나도 도와줄 테니까 같이 숙제하자		나도 도울 테니까,같이 숙제 하자	蟹亀　亀随　砺艦猿，旭戚　寿薦　馬切		36	[]	imported	
DLC0307/ID00003/000031	dlc	DLC0307	ID00003	31	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
DLC0307/ID00003/000032	dlc	DLC0307	ID00003	32	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	ec4778d59eb53b738b8e19b81b3765948693ee9e080492aaa67e4bac40572f0c	고마워, 쇼타로(正太太郎)!		고마워,쇼타로!	壱原趨，珠展稽！		16	[]	imported	
DLC0307/ID00003/000033	dlc	DLC0307	ID00003	33	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	e32e3400ee24e0130cb7a5e3e01ec572b6365ff99509b8e15bb055c0e2b2bde4	나오토		나오토	蟹神塘		6	[]	imported	
DLC0307/ID00003/000034	dlc	DLC0307	ID00003	34	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	ba93351fa7be709f9c82551c4cb3f698f1561479e3a04dfbca466664e4637e49	초등학생 사장은 동행하지		초등학생 사장은 힘들겠네	段去俳持　紫舌精　毘級畏革		26	[]	imported	
DLC0307/ID00003/000035	dlc	DLC0307	ID00003	35	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	7e58d43b6bed639412e18ff936ea987dfe59c8524e3b9b526a3595a5c7ce3322	아키라		아키라	焼徹虞		6	[]	imported	
DLC0307/ID00003/000036	dlc	DLC0307	ID00003	36	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	22807a340966f04da20a8e8e9d748bcd8e543053ec03e3c94dd9687304827f96	그렇구나.		그렇지. 왓타가 숙제를 못 하는 것도,	益係走．　甚展亜　寿薦研　公　馬澗　依亀，		42	[]	imported	
DLC0307/ID00003/000037	dlc	DLC0307	ID00003	37	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	ff6c0a8f2d56fb11b2594194d965d86052bfdaea62c282cc60ef4966a64260ff	와타가 숙제를 못하는 것도 어떻게 보면 어쩔 수 없다고 생각해		어떤 의미로는 어쩔 수 없다고 생각해	嬢恐　税耕稽澗　嬢多　呪　蒸陥壱　持唖背		40	[]	imported	
DLC0307/ID00003/000038	dlc	DLC0307	ID00003	38	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	7dc16b5561a540e0280da8ed51b2d816bcd119e7965d71ec7bf5c328515184fb	미카		미카	耕朝		4	[]	imported	
DLC0307/ID00003/000039	dlc	DLC0307	ID00003	39	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	8895f597c28c5932e7627c8e22416294df515d0deccdb5e9fa0a87f74729c805	하지만 쇼타로군은 숙제도 제대로 하면서,		하지만,쇼타로 군은 제대로 숙제도 하면서	馬走幻，珠展稽　浦精　薦企稽　寿薦亀　馬檎辞		44	[]	imported	
DLC0307/ID00003/000040	dlc	DLC0307	ID00003	40	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	4d96f7cbd272843ef74232dcdd316b85144808d92a345e632368287e501c3e30	임무도 완수하고 있어요		임무도 해내고 있어	績巷亀　背鎧壱　赤嬢		20	[]	imported	
DLC0307/ID00003/000041	dlc	DLC0307	ID00003	41	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	f8ce59b6f3add56e1e47315d1e049f67552b97c45b12d632d636dee4140cd5fa	켄지		켄지	痛走		4	[]	imported	
DLC0307/ID00003/000042	dlc	DLC0307	ID00003	42	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	d0436bc7387e5ad73fabfda9779ea0ba2f81867a3d87513e27ea0088ec88a8ba	쇼타로(正太太郎)는 ICPO의 특별 수사관이니까.		쇼타로는 ICPO의 특별 수사관이니까	珠展稽澗　ＩＣＰＯ税　働紺　呪紫淫戚艦猿		40	[]	imported	
DLC0307/ID00003/000043	dlc	DLC0307	ID00003	43	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	fba1eeb553c90ea98afc705ee0e876739c5507d9d0cd1f2613638aa3a25ba833	악인을 쫓는 이상 자신은 제대로 의무나 책임을		악당을 쫓는 이상,자신은 제대로 의무와 책임을	焦雁聖　耐澗　戚雌，切重精　薦企稽　税巷人　奪績聖		50	[]	imported	
DLC0307/ID00003/000044	dlc	DLC0307	ID00003	44	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	1339d8ad93f6092be60186cc6492dc193bed3b85a72e9d8268c3cbed43ea6014	이루려고 노력하고 있어		다하려고 노력하고 있는 거야	陥馬形壱　葛径馬壱　赤澗　暗醤		30	[]	imported	
DLC0307/ID00003/000045	dlc	DLC0307	ID00003	45	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0307/ID00003/000046	dlc	DLC0307	ID00003	46	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	9fe2e4686f61e681d6eb333fab1be8bc055b4f82529636e09a125886d3cda330	훌륭하군.		훌륭하네	版権馬革		8	[]	imported	
DLC0307/ID00003/000047	dlc	DLC0307	ID00003	47	!DLC/DLC0307_cpk/DLC0307(DLC-07)-ID00003-script-통합.xlsx	dec1ecdfa6d1e172b0a5a48e63f6b8955a7bc3cbc9d932d369362712ca7c51cf	d5ed6677e7feef55b19f51f5fa0fbbccae969a4a5eb2e82fea363c2000e152b7	철인이없으면그냥초등학생인데		철인이 없으면,그냥 초등학생인데	旦昔戚　蒸生檎，益撹　段去俳持昔汽		34	[]	imported	
