entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0071/ID00003/000004	stage	STG0071	ID00003	4	01_스테이지 xlsx 모음/STG0071(42화B)-ID00003-script-통합.xlsx	e243117cea22560a56be61ad47dc1403fa520927455864c097e0e493b0947d62	b3ecfb8e4f9b40431c79b3891d3cfb12b12d186521938f045c3825740d81dcf3	~패러다임 시티 바 'SPEAK EASY'~		　～파라다임 시티 바 『SPEAK EASY』～	　～督虞陥績　獣銅　郊　『ＳＰＥＡＫ　ＥＡＳＹ』～		50	[]	imported	
STG0071/ID00003/000005	stage	STG0071	ID00003	5	01_스테이지 xlsx 모음/STG0071(42화B)-ID00003-script-통합.xlsx	e243117cea22560a56be61ad47dc1403fa520927455864c097e0e493b0947d62	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0071/ID00003/000006	stage	STG0071	ID00003	6	01_스테이지 xlsx 모음/STG0071(42화B)-ID00003-script-통합.xlsx	e243117cea22560a56be61ad47dc1403fa520927455864c097e0e493b0947d62	48e4e41e0b434e96556c0a7e17297001a555f8a6e4e0213b966b28b01ee85903	야, 마이 스윗 허니...		있지,마이 스위트 허니…	赤走，原戚　什是闘　買艦…		26	[]	imported	
STG0071/ID00003/000007	stage	STG0071	ID00003	7	01_스테이지 xlsx 모음/STG0071(42화B)-ID00003-script-통합.xlsx	e243117cea22560a56be61ad47dc1403fa520927455864c097e0e493b0947d62	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
STG0071/ID00003/000008	stage	STG0071	ID00003	8	01_스테이지 xlsx 모음/STG0071(42화B)-ID00003-script-통합.xlsx	e243117cea22560a56be61ad47dc1403fa520927455864c097e0e493b0947d62	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0071/ID00003/000009	stage	STG0071	ID00003	9	01_스테이지 xlsx 모음/STG0071(42화B)-ID00003-script-통합.xlsx	e243117cea22560a56be61ad47dc1403fa520927455864c097e0e493b0947d62	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0071/ID00003/000010	stage	STG0071	ID00003	10	01_스테이지 xlsx 모음/STG0071(42화B)-ID00003-script-통합.xlsx	e243117cea22560a56be61ad47dc1403fa520927455864c097e0e493b0947d62	b5949a71b11893822717589a23572f97991b82c36aa5c6d3169c691c795d0a2e	있잖아... 별로 말하고 싶지 않은데,		저기… 말하고 싶지는 않지만	煽奄…　源馬壱　粛走澗　省走幻		30	[]	imported	
STG0071/ID00003/000011	stage	STG0071	ID00003	11	01_스테이지 xlsx 모음/STG0071(42화B)-ID00003-script-통합.xlsx	e243117cea22560a56be61ad47dc1403fa520927455864c097e0e493b0947d62	fffc1d728428b3847f33c5fddb7b98e88f5fa13d3865df5acb38aacf5670afe1	옆에서 그렇게 시무룩한 표정을 지으면		옆에서 그렇게 우울한 얼굴을 하고 있으면	新拭辞　益係惟　酔随廃　杖閏聖　馬壱　赤生檎		44	[]	imported	
STG0071/ID00003/000012	stage	STG0071	ID00003	12	01_스테이지 xlsx 모음/STG0071(42화B)-ID00003-script-통합.xlsx	e243117cea22560a56be61ad47dc1403fa520927455864c097e0e493b0947d62	77c7c90a800869019b8e686e3694c28721259b73b01358bb9f890e55342bcf05	모처럼의 술이 맛없게 되는데…		힘들게 마련한 술맛이 떨어진다고…	毘級惟　原恵廃　綬言戚　恭嬢遭陥壱…		36	[]	imported	
STG0071/ID00003/000013	stage	STG0071	ID00003	13	01_스테이지 xlsx 모음/STG0071(42화B)-ID00003-script-통합.xlsx	e243117cea22560a56be61ad47dc1403fa520927455864c097e0e493b0947d62	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
