entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0017/ID00003/000004	stage	STG0017	ID00003	4	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	75072a99749e8066c6c0fa185c2542efc00e00be1e6ce82924baf12c77b8d5f5	~드래곤즈 하이브~		　　　　　　　　　～드래곤즈 하이브～	　　　　　　　　　～球掘逸綜　馬戚崎～		38	[]	imported	
STG0017/ID00003/000005	stage	STG0017	ID00003	5	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0017/ID00003/000006	stage	STG0017	ID00003	6	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	12ff929e193b733b9e777a8480839eaedf902cc06dd1a0a6cf88e5f8bc90bde5	그것이, 앞으로의 우리들의 활동 거점이 될 것이다		저게,앞으로 우리들의 활동 거점이 되는	煽惟，蒋生稽　酔軒級税　醗疑　暗繊戚　鞠澗		42	[]	imported	
STG0017/ID00003/000007	stage	STG0017	ID00003	7	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	3c566bff8adeb615960fde46832ec15a4f4c1d100529182353e3ebcfd24998b3	드래곤즈 하이브라...		드래곤즈 하이브인가…	球掘逸綜　馬戚崎昔亜…		22	[]	imported	
STG0017/ID00003/000008	stage	STG0017	ID00003	8	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0017/ID00003/000009	stage	STG0017	ID00003	9	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	b103da775bb9bd84d8ef833a9fa8888902e1af05cc1de17b6aa053358f82dc18	이름 그대로의 모습이네...		이름 그대로의 모습이네…	戚硯　益企稽税　乞柔戚革…		26	[]	imported	
STG0017/ID00003/000010	stage	STG0017	ID00003	10	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	fbf9439590438f65e67b30731c98a560354ba6b38dcc626d34245ac3ef3bb2a1	멋져요		멋지네	鈷走革		6	[]	imported	
STG0017/ID00003/000011	stage	STG0017	ID00003	11	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	ad9d3832188b8a00b3324e7c463e448c8a82663db911a622da8ae5ffcb8d1e14	보스		보스	左什		4	[]	imported	
STG0017/ID00003/000012	stage	STG0017	ID00003	12	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	44a1d153cb735e51d9f34fc060c3d172da564cbac8cf1518fd356af35be97b53	스즈네 선생님은, 저런 것을 좋아하시네요		스즈네 선생님은,그런 게 좋으신가 보네	什綜革　識持還精，益訓　惟　疏生重亜　左革		42	[]	imported	
STG0017/ID00003/000013	stage	STG0017	ID00003	13	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0017/ID00003/000014	stage	STG0017	ID00003	14	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	aa5c4f74c62ec9a5dd7348a2f63924541e89356185df004d7b844064623debc0	전 세계의 많은 신화와 전설에서		세계의 많은 신화나 전설에서	室域税　弦精　重鉢蟹　穿竺拭辞		30	[]	imported	
STG0017/ID00003/000015	stage	STG0017	ID00003	15	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	de2163f7ed970d76fc3f25a827073c335b70108190fca2aad02df972cd9f0f5e	드래곤은 중요한 의미를 가지고 있는 것		드래곤은 중요한 의미를 지닌 존재	球掘逸精　掻推廃　税耕研　走観　糎仙		36	[]	imported	
STG0017/ID00003/000016	stage	STG0017	ID00003	16	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0017/ID00003/000017	stage	STG0017	ID00003	17	01_스테이지 xlsx 모음/STG0017(10화B)-ID00003-script-통합.xlsx	b23d21c6226ad8220be13df42fa1609c20b5c8a6e4c712f75be044455c2265a0	68b1a6ed92ba068f354c29ab94f4246eba89e955154d462ea941d264508cd24e	그것을 상징으로 하는 것은,		그걸 상징으로 삼고 있는 건,	益杏　雌臓生稽　誌壱　赤澗　闇，		32	[]	imported	
