entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0001a/ID00003@FILE-ID00004/000002	stage	STG0001a	ID00003@FILE-ID00004	2	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신	신	신	重		2	[]	imported	
STG0001a/ID00003@FILE-ID00004/000003	stage	STG0001a	ID00003@FILE-ID00004	3	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	d7b01573e684b32b1f3b579d135960f3cdc2691454f07437522e2a9a71e67300	봐, 모두!	봐바,다들!	봐,모두!	坐，乞砧！		10	[]	imported	
STG0001a/ID00003@FILE-ID00004/000004	stage	STG0001a	ID00003@FILE-ID00004	4	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	c473d6a80a6dcc37351ead58c81efecce73b4c134376b280d596cc01121c3282	우리의 지구다! 	우리들의 지구다!	우리들의 지구다!	酔軒級税　走姥陥！		18	[]	imported	
STG0001a/ID00003@FILE-ID00004/000005	stage	STG0001a	ID00003@FILE-ID00004	5	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	f568cc1670d935a0151b9b317c3af1068eaa9b69f64c94bd5148cbfd78170cbe	키라	키라	키라	徹虞		4	[]	imported	
STG0001a/ID00003@FILE-ID00004/000006	stage	STG0001a	ID00003@FILE-ID00004	6	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	d67880aa3d33390b395f7dc9b98b4c6593e6c058cb50a0a21c341763c3007cd6	돌아왔구나, 우리…	돌아온거구나,우리들…	돌아왔네,우리들…	宜焼尽革，酔軒級…		18	[]	imported	
STG0001a/ID00003@FILE-ID00004/000007	stage	STG0001a	ID00003@FILE-ID00004	7	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	9bcbe1433ae8354ccd85f9694a2b81767eae6e5d568b6d40e1cc70115167e130	카츠라	케이	케이	追戚		4	[]	imported	
STG0001a/ID00003@FILE-ID00004/000008	stage	STG0001a	ID00003@FILE-ID00004	8	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	3ae31fd8c295d3e7313a0726c22044f213379263069e3700aa29565363edf1e1	《파계사변》과《재세전쟁》…	《파계사변》과 《재세전쟁》…	《파계사변》과 《재세전쟁》…	《督域紫痕》引　《仙室穿戦》…		30	[]	imported	
STG0001a/ID00003@FILE-ID00004/000009	stage	STG0001a	ID00003@FILE-ID00004	9	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	ec37cf9161ba12176d31d2e19a82faff8aa49cd69228d9e772c54beee89ca2b4	저쪽의 세계에서도 여러가지 있었지만,	저쪽 세계에서도 이런저런 일들이 있었지만,	저쪽 세계에서도 여러 가지 일이 있었지만	煽楕　室域拭辞亀　食君　亜走　析戚　赤醸走幻		44	[]	imported	
STG0001a/ID00003@FILE-ID00004/000010	stage	STG0001a	ID00003@FILE-ID00004	10	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	def70911965dfa892399765c03d7744e7ae754e43700997eecc6a59663113195	지금이라면 좋은 추억이다.	지금에 와서는 좋은 추억이야.	지금 와서는 좋은 추억이군	走榎　人辞澗　疏精　蓄常戚浦		28	[]	imported	
STG0001a/ID00003@FILE-ID00004/000011	stage	STG0001a	ID00003@FILE-ID00004	11	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신	신	신	重		2	[]	imported	
STG0001a/ID00003@FILE-ID00004/000012	stage	STG0001a	ID00003@FILE-ID00004	12	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	b0dc23c3dd4d49b81963340b2959137a302b3b696b173d0fee96d6d6cb2d5ee7	차원의 구멍의《어비스》는,	차원의 구멍 《어비스》는,	차원의 구멍 《어비스》는	託据税　姥雇　《嬢搾什》澗		26	[]	imported	
STG0001a/ID00003@FILE-ID00004/000013	stage	STG0001a	ID00003@FILE-ID00004	13	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	1f0fd88ab2e29aa547a188821069e514e9125bf8f440a70279b309b11fa5a339	닫혀 버렸기 때문에 저쪽의 세계에	닫혀버렸으니까,저쪽 세계에는	닫혀버렸으니까,저쪽 세계에는	丸粕獄携生艦猿，煽楕　室域拭澗		30	[]	imported	
STG0001a/ID00003@FILE-ID00004/000014	stage	STG0001a	ID00003@FILE-ID00004	14	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	f9a2513a8759044213364bdbb160908198002d5ff59fedbb082a59bcda417468	당분간 갈 수 없는 것인가…”	당분간 못 가는건가…	당분간 갈 수 없는 건가…	雁歳娃　哀　呪　蒸澗　闇亜…		28	[]	imported	
STG0001a/ID00003@FILE-ID00004/000015	stage	STG0001a	ID00003@FILE-ID00004	15	01_스테이지 xlsx 모음/STG0001a(1화)-ID00004-script-통합.xlsx	b971ecf533d0997d738783b7e03aa1a3ec1ac3091c02fb575ca23591213adc90	9f6eb77d0cdcada3c71fcdb67d8f4d15f15485eb3534fa9b6669026eaa997fec	카미유	카미유	카미유	朝耕政		6	[]	imported	
