entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0066/ID00003/000004	stage	STG0066	ID00003	4	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	ba02bb7ca4fa46725c79b21b20d5699507038ab3080188b878ff13a28f118829	~프톨레마이오스 2개 브릿지~		　　　　　～프톨레마이오스 2개 브리지～	　　　　　～覗島傾原戚神什　２鯵　崎軒走～		42	[]	imported	
STG0066/ID00003/000005	stage	STG0066	ID00003	5	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0066/ID00003/000006	stage	STG0066	ID00003	6	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	30a2e0fd8876afacc5b70d66733a78967998e5423b94f836e79c29bb3b762483	…그럼, 곧 미스릴의 증원이 오는군요		…그럼,곧 미스릴의 증원이 오는 거네	…益軍，稲　耕什険税　装据戚　神澗　暗革		40	[]	imported	
STG0066/ID00003/000007	stage	STG0066	ID00003	7	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사		텟사	倒紫		4	[]	imported	
STG0066/ID00003/000008	stage	STG0066	ID00003	8	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	2910a18eec8fd2dd5cd180079f7daaa70fc264fbed0798ef916403245c1c3d55	네。		네	革		2	[]	imported	
STG0066/ID00003/000009	stage	STG0066	ID00003	9	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	5c6e0662470fc10c05432408c379f5c704fad509e5001e9f5a916d36fab45540	크루조 중위의 합류는 강행 정찰을 겸한		클루조 중위의 합류는 강행 정찰을 겸한	適欠繕　掻是税　杯嫌澗　悪楳　舛茸聖　謂廃		42	[]	imported	
STG0066/ID00003/000010	stage	STG0066	ID00003	10	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	5745189d66530b5ac5e27e6f8347e9ccea2d5d7e497093f3064a36595c6765eb	것이었어요		것이었어요	依戚醸嬢推		10	[]	imported	
STG0066/ID00003/000011	stage	STG0066	ID00003	11	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0066/ID00003/000012	stage	STG0066	ID00003	12	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	7aae482fdae06a39f572d4bdbbfc90609d56b4ed9693151511affcf554f3e67a	이것으로 현안이었던 보급의 문제도 어떻게든 될 것 같네		이걸로 보급 문제도 어떻게든 될 것 같네	戚杏稽　左厭　庚薦亀　嬢胸惟窮　吃　依　旭革		44	[]	imported	
STG0066/ID00003/000013	stage	STG0066	ID00003	13	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
STG0066/ID00003/000014	stage	STG0066	ID00003	14	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	cc62b608ad0846819e350fff03c8e2b14f3800a5b2a71ec9c3965d69d44cd721	그리고 크루조 중위는		그리고,클루조 중위는	益軒壱，適欠繕　掻是澗		22	[]	imported	
STG0066/ID00003/000015	stage	STG0066	ID00003	15	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	724dfac9d5c2208073f353d7fdb516e7d7306487da4e23ba608ae56e90826e07	우리에게 중요한 정보를 가져다 주었다		우리에게 중요한 정보를 가져다주었어	酔軒拭惟　掻推廃　舛左研　亜閃陥爽醸嬢		38	[]	imported	
STG0066/ID00003/000016	stage	STG0066	ID00003	16	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사		텟사	倒紫		4	[]	imported	
STG0066/ID00003/000017	stage	STG0066	ID00003	17	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	071a6637b185f54b90ffb942c9ed8b0ea61870d1fc4e8e753a5756917c08fff6	헤르마지스탄 아말감의 거점.		헬마지스탄의 아말감 거점…	拍原走什添税　焼源姶　暗繊…		28	[]	imported	
STG0066/ID00003/000018	stage	STG0066	ID00003	18	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	9298deb7429eccf597b31ab62674bde5a46e86da23d0c510d8985990c47bf761	마티얼의 신전을 기지로 사용하고 있었다니…		마티알의 신전을 기지로 사용하고 있었다니…	原銅硝税　重穿聖　奄走稽　紫遂馬壱　赤醸陥艦…		46	[]	imported	
STG0066/ID00003/000019	stage	STG0066	ID00003	19	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0066/ID00003/000020	stage	STG0066	ID00003	20	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	5133cc61c0c6456f6ab782c412dcdad049c4d38b70a73d322884071babbab31f	아말감과 마티알...		아말감과 마티알… 우리가 생각했던 것 이상으로	焼源姶引　原銅硝…　酔軒亜　持唖梅揮　依　戚雌生稽		50	[]	imported	
STG0066/ID00003/000021	stage	STG0066	ID00003	21	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	93da86531c1591510b252836a2833e72fed0bb51f3e60434d3ca218840c7452e	우리가 생각했던 것보다 더 강한 유대감을 갖고 있는 것 같아요		강한 유대 관계인 것 같네	悪廃　政企　淫域昔　依　旭革		28	[]	imported	
STG0066/ID00003/000022	stage	STG0066	ID00003	22	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
STG0066/ID00003/000023	stage	STG0066	ID00003	23	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	057531783fdbb34b964db78c6df1f6bf7a78be2b32810de0de7b98989f25d4e1	시급히 손을 쓰지 않으면		빨리 손을 써야 해	察軒　謝聖　潤醤　背		20	[]	imported	
STG0066/ID00003/000024	stage	STG0066	ID00003	24	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	080d3a2acf0ce87eb5c9fd47adc13cb5e5edca7bd9eaadcd06a6bb82c97e72e2	세계적인 수준에서 귀찮은 일이 되지 마라		세계 레벨로 귀찮은 일이 될 거야	室域　傾婚稽　瑛諾精　析戚　吃　暗醤		36	[]	imported	
STG0066/ID00003/000025	stage	STG0066	ID00003	25	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0066/ID00003/000026	stage	STG0066	ID00003	26	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	70a6653c5f6521a7e75dbdbea07646275f70bcd6a2eac5d78d244a503f93abf7	그러기 위해서는 우선,		그러려면 우선	益君形檎　酔識		14	[]	imported	
STG0066/ID00003/000027	stage	STG0066	ID00003	27	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	5f9942a75002553d6a06c36daf35a3b2dd9a9cb55e1db7402dc6bbbd7fec3495	이 헬마지스탄에서 탈출하지 않으면		이 헬마지스탄에서 탈출해야 해	戚　拍原走什添拭辞　纏窒背醤　背		32	[]	imported	
STG0066/ID00003/000028	stage	STG0066	ID00003	28	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	7c7177134a9428c73ddf3916b99c25cbed716e660483a0ced4d88a140686900f	펠트		펠트	灘闘		4	[]	imported	
STG0066/ID00003/000029	stage	STG0066	ID00003	29	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	85cd9eb7d997c0d04a7435f70e1a5fa8fa2f40badd9690eb849f6a606f3d1bfe	스멜라기 님...!		스메라기 씨…！	什五虞奄　松…！		16	[]	imported	
STG0066/ID00003/000030	stage	STG0066	ID00003	30	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0066/ID00003/000031	stage	STG0066	ID00003	31	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	8c3f539372eb3550b552a2e0656934c7505d5b88ec3b445767c390136ea86758	무슨 일이야, 펠트(フェルト？、の)?		무슨 일이야,펠트？	巷充　析戚醤，灘闘？		20	[]	imported	
STG0066/ID00003/000032	stage	STG0066	ID00003	32	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	7c7177134a9428c73ddf3916b99c25cbed716e660483a0ced4d88a140686900f	펠트		펠트	灘闘		4	[]	imported	
STG0066/ID00003/000033	stage	STG0066	ID00003	33	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	640d448c16bcdbb3ecfc3a4e6691e8faa7e9278b211c6e70ca52b1a2b4f23d8c	미스릴의 부대에서 입전...!		미스릴 부대에서 긴급 연락…！	耕什険　採企拭辞　延厭　尻喰…！		32	[]	imported	
STG0066/ID00003/000034	stage	STG0066	ID00003	34	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	b0dd00568b99fe6dabbe22bb1926ba51c89316f7ab67ea22b281eff21772c928	아말감의 공격으로 부대는 궤멸,		아말감의 공격으로 부대는 전멸	焼源姶税　因維生稽　採企澗　穿瑚		32	[]	imported	
STG0066/ID00003/000035	stage	STG0066	ID00003	35	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	63e9150f9224a99677c539a88ad8dc946dd1995658ace7d66ce654a22f63f446	이쪽 합류는 불가능하다고...!		이쪽으로의 합류는 불가능하다고…！	戚楕生稽税　杯嫌澗　災亜管馬陥壱…！		36	[]	imported	
STG0066/ID00003/000036	stage	STG0066	ID00003	36	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사		텟사	倒紫		4	[]	imported	
STG0066/ID00003/000037	stage	STG0066	ID00003	37	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	d6f1a5b6185f6ab92bc1ce1fae584dfe1223d3222e74f07fb9e7f2656235c006	뭐라고요...!?		뭐라고…！？	更虞壱…！？		12	[]	imported	
STG0066/ID00003/000038	stage	STG0066	ID00003	38	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0066/ID00003/000039	stage	STG0066	ID00003	39	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	730ae5f4407ee74e0ddbede86eaa07973bbbf7ac23483cc7616818f873899acf	미스릴이 상정하고 있던 것 이상의 부대가		미스릴이 상정했던 것 이상의 부대가	耕什険戚　雌舛梅揮　依　戚雌税　採企亜		38	[]	imported	
STG0066/ID00003/000040	stage	STG0066	ID00003	40	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	0990c80afb30d1dc9d2e7555413927d82cb884f8691a180afa4a25ad3f5d0d51	이 헤르마지스탄에서 움직이고 있는 것 같군		이 헬마지스탄에서 움직이고 있는 것 같네	戚　拍原走什添拭辞　崇送戚壱　赤澗　依　旭革		44	[]	imported	
STG0066/ID00003/000041	stage	STG0066	ID00003	41	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사		텟사	倒紫		4	[]	imported	
STG0066/ID00003/000042	stage	STG0066	ID00003	42	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	e3704fb6d5c544409fb631feedb67cdb5c4dfceffdeba0001254f24bb87238cd	보급선이 끊어지면, 머지않아 우리도...		보급선이 끊기면,결국 우리도…	左厭識戚　快奄檎，衣厩　酔軒亀…		32	[]	imported	
STG0066/ID00003/000043	stage	STG0066	ID00003	43	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
STG0066/ID00003/000044	stage	STG0066	ID00003	44	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	f5a3428ddebdd8797973527c9337e493cdf3127eb4e20e64833640e23eb4dbe5	…그것에 관해서는 내게 생각이 있다		…그것에 대해서는 내 생각이 있어	…益依拭　企背辞澗　鎧　持唖戚　赤嬢		36	[]	imported	
STG0066/ID00003/000045	stage	STG0066	ID00003	45	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0066/ID00003/000046	stage	STG0066	ID00003	46	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	47e3b1e919cdd5716fa745e303d54d7f80b263fec468fc4ddc56ad9fd96031b5	보급할 수 있는 게 있어?		보급할 곳이 있어？	左厭拝　員戚　赤嬢？		20	[]	imported	
STG0066/ID00003/000047	stage	STG0066	ID00003	47	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
STG0066/ID00003/000048	stage	STG0066	ID00003	48	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	9bcb5a354b2593e6de92f572f539ad7d173832442211ed89e46a313d20f9254b	하지만 그 전에 이 포위망을 뚫지 않으면 안 된다		하지만 그 전에,이 포위망을 돌파해야 해	馬走幻　益　穿拭，戚　匂是諺聖　宜督背醤　背		44	[]	imported	
STG0066/ID00003/000049	stage	STG0066	ID00003	49	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	텟사		텟사	倒紫		4	[]	imported	
STG0066/ID00003/000050	stage	STG0066	ID00003	50	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	a2ffb04d7ed7aad40db3d553c12319ac572bfe4796f4bf785760f982cea720d7	그러면...		그럼…	益軍…		6	[]	imported	
STG0066/ID00003/000051	stage	STG0066	ID00003	51	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
STG0066/ID00003/000052	stage	STG0066	ID00003	52	01_스테이지 xlsx 모음/STG0066(38화C)-ID00003-script-통합.xlsx	d38907bd93004d64cadd88ae85773b6795725a27e89eb422566b6ff64e59e5e2	309ff33a233dc5759ead1cc1f36ffd66958533e64d1a80819051ea8939a26484	퇴로가 끊겼다면 앞으로 나아갈 뿐이다.		퇴로가 끊겼다면,앞으로 나아갈 뿐이다	盗稽亜　快医陥檎，蒋生稽　蟹焼哀　屍戚陥		40	[]	imported	
