entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0600/ID00003/000002	stage	STG0600	ID00003	2	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0600/ID00003/000003	stage	STG0600	ID00003	3	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	c99a5b01bc26dacc53b39b0614fbc2c3e3a9c84d8f88d42e9aec8e92ae04eeb6	제3차 슈퍼로봇대전 Z의 세계로		『제3차 슈퍼로봇대전 Z』의 세계에	『薦３託　輯遁稽鎖企穿　Ｚ』税　室域拭		38	[]	imported	
STG0600/ID00003/000004	stage	STG0600	ID00003	4	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	d42d197215d525bbad2933543033795bb42df67a8ed8651e65b53f0af26272af	잘 오셨어요.		어서 오세요	嬢辞　神室推		12	[]	imported	
STG0600/ID00003/000005	stage	STG0600	ID00003	5	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0600/ID00003/000006	stage	STG0600	ID00003	6	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	db45327288aa9856eeb7a821fe707007b0209952bf647d9a88d083681b04d8fc	이 가이던스 시나리오의 안내역을 맡다		이 가이던스 시나리오의 안내를 맡은	戚　亜戚揮什　獣蟹軒神税　照鎧研　乎精		38	[]	imported	
STG0600/ID00003/000007	stage	STG0600	ID00003	7	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	23c8276f7867876166c32bdb9038107bcf62b7c2cfbc7e91aee218824475ff87	사이죠오료네 입니다		사이죠 스즈네입니다	紫戚倉　什綜革脊艦陥		20	[]	imported	
STG0600/ID00003/000008	stage	STG0600	ID00003	8	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0600/ID00003/000009	stage	STG0600	ID00003	9	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	3c7bdb572936c8bba1d51b3581c72631c94c70afca0f58c055bd73d77c939172	교사를 목표로 공부중인 몸이지만,		교사를 목표로 공부 중이지만,	嘘紫研　鯉妊稽　因採　掻戚走幻，		32	[]	imported	
STG0600/ID00003/000010	stage	STG0600	ID00003	10	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	193ec9e38228f01a59e96e25270e5a25cab1b4a295877ec64eb2d154c6b4e571	조금이라도 여러분들에게 도움이 될 수 있도록		여러분께 조금이라도 도움이 되도록	食君歳臆　繕榎戚虞亀　亀崇戚　鞠亀系		36	[]	imported	
STG0600/ID00003/000011	stage	STG0600	ID00003	11	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	b8c1493bd34f086953618c8e26a28b2a1ad833fdfef9083cc0136553baefbde2	열심히 하겠습니다		열심히 하겠습니다	伸宿備　馬畏柔艦陥		18	[]	imported	
STG0600/ID00003/000012	stage	STG0600	ID00003	12	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0600/ID00003/000013	stage	STG0600	ID00003	13	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	69aee75f92545975f84755a84070d54321f7f444e4b2cc7306ae319128144183	그리고 이쪽이...		그리고,이쪽은…	益軒壱，戚楕精…		16	[]	imported	
STG0600/ID00003/000014	stage	STG0600	ID00003	14	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0600/ID00003/000015	stage	STG0600	ID00003	15	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0600/ID00003/000016	stage	STG0600	ID00003	16	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0600/ID00003/000017	stage	STG0600	ID00003	17	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	7921379da871b66e6ff06afdcc2550b259a94ad9fa086df42b262b09f372800b	제가 교육실습에서 담당하고 있는 반 학생들,		제가 교육실습으로 담당하고 있는 반 학생,	薦亜　嘘整叔柔生稽　眼雁馬壱　赤澗　鋼　俳持，		46	[]	imported	
STG0600/ID00003/000018	stage	STG0600	ID00003	18	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	6a78977836e6579b389b0c27bf2dce1635a51814509affc81224d7138df544ff	히비키 카미시로군입니다		히비키・카미시로 군입니다	備搾徹・朝耕獣稽　浦脊艦陥		26	[]	imported	
STG0600/ID00003/000019	stage	STG0600	ID00003	19	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0600/ID00003/000020	stage	STG0600	ID00003	20	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	4f758b5165ba03562bbb4f21a039e46b1c6a7010fefcb7b49a7e79d3b22ad0c2	그는 나의 보조를 맡아 줄 것입니다		그에게 제 조수를 맡기겠습니다	益拭惟　薦　繕呪研　乎奄畏柔艦陥		32	[]	imported	
STG0600/ID00003/000021	stage	STG0600	ID00003	21	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0600/ID00003/000022	stage	STG0600	ID00003	22	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	e05267c33ea0f502f3b4a97b42bcd4ced5390b982c456473f12ef20aa052a6cf	…잘 부탁하다		…잘 부탁드립니다	…設　採店球験艦陥		18	[]	imported	
STG0600/ID00003/000023	stage	STG0600	ID00003	23	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0600/ID00003/000024	stage	STG0600	ID00003	24	01_스테이지 xlsx 모음/STG0600(가이던스시나리오)-ID00003-script-통합.xlsx	ccd80bd1d56f25dfc51bd59b7fe8d75cd0d63b470ebca09ea065a91af0252ad6	b4cb62c8f42029f01fbefa42fad1b30473805d61a1a1b4e66b43a0715ecc5840	히비키군은 『슈퍼 로봇 대전』시리즈를		히비키 군은 『슈퍼로봇대전』 시리즈를	備搾徹　浦精　『輯遁稽鎖企穿』　獣軒綜研		40	[]	imported	
