entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0074/ID00003/000002	stage	STG0074	ID00003	2	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	코우지		코우지	坪酔走		6	[]	imported	
STG0074/ID00003/000003	stage	STG0074	ID00003	3	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	23d82a9ad137cf7068362c3cdb30c38481c64059e176bc51f133761f1fe2061e	여기는...!?		여기는…！？	食奄澗…！？		12	[]	imported	
STG0074/ID00003/000004	stage	STG0074	ID00003	4	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	코우지		코우지	坪酔走		6	[]	imported	
STG0074/ID00003/000005	stage	STG0074	ID00003	5	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	6f9ffd3830fe3caa91da14afcf1f24884e191bf76374a83217f6895af05247f4	나는... 그 하데스에게 당해서... 그 후로...		나는… 그 하데스에게 당하고… 그 후…	蟹澗…　益　馬汽什拭惟　雁馬壱…　益　板…		42	[]	imported	
STG0074/ID00003/000006	stage	STG0074	ID00003	6	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	3fe3a9d5ff5031b4a1a9f594cb565c8f7ef7186527690676d3e3ef2f40304c71	？？？		？？？	？？？		6	[]	imported	
STG0074/ID00003/000007	stage	STG0074	ID00003	7	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	1e5360b47457207ce3a61ab42fa0d898336c613343f64edf7b8955e88bf32bbb	전사여		전사여	穿紫食		6	[]	imported	
STG0074/ID00003/000008	stage	STG0074	ID00003	8	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	코우지		코우지	坪酔走		6	[]	imported	
STG0074/ID00003/000009	stage	STG0074	ID00003	9	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	92efbcba00978594652a7969e7073a64ed6d86ea78bd55ba263c85adf2182623	당신은...당신은 도대체...!?		당신은… 당신은 도대체…！？	雁重精…　雁重精　亀企端…！？		30	[]	imported	
STG0074/ID00003/000010	stage	STG0074	ID00003	10	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	3fe3a9d5ff5031b4a1a9f594cb565c8f7ef7186527690676d3e3ef2f40304c71	？？？		？？？	？？？		6	[]	imported	
STG0074/ID00003/000011	stage	STG0074	ID00003	11	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	a638ec9c136b895fa737f079ca4e0536d2d60c7036701216d2ac75147d5d88db	나?		나 말인가? 나는 전지전능한 자,	蟹　源昔亜？　蟹澗　穿走穿管廃　切，		36	[]	imported	
STG0074/ID00003/000012	stage	STG0074	ID00003	12	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	9058543d6039c8c6266360f3d30341c6c81a7d6a79e7e7390f5d73c044fef449	나는 전지전능한 자, 너희를 지키고 이끄는 자…		너희들을 지키고 인도하는 자…	格費級聖　走徹壱　昔亀馬澗　切…		32	[]	imported	
STG0074/ID00003/000013	stage	STG0074	ID00003	13	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	1ed80c8151b5f09e401cc9635a9674630bcdcb7279a99d69b88df997b12496b9	제우스		제우스	薦酔什		6	[]	imported	
STG0074/ID00003/000014	stage	STG0074	ID00003	14	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	128c588f73b1978c9b5a9a8aa0f5bb913824426e607e132f8594ec06486413bd	내 이름은 제우스.		내 이름은 제우스	鎧　戚硯精　薦酔什		18	[]	imported	
STG0074/ID00003/000015	stage	STG0074	ID00003	15	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	9379e9db641b74d17a628b542abe1b1908a939e1d350800f666ab8b32b4d4825	그러나, 그 실체는 Z 마징거		그러나 그 실체는 Z 마징가	益君蟹　益　叔端澗　Ｚ　原臓亜		30	[]	imported	
STG0074/ID00003/000016	stage	STG0074	ID00003	16	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	코우지		코우지	坪酔走		6	[]	imported	
STG0074/ID00003/000017	stage	STG0074	ID00003	17	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	2d3e81c468b844a69bb914a70e220d02a0066584af1a0fbb38c51b9fef81e41a	Z 마징가...		Z 마징가…	Ｚ　原臓亜…		12	[]	imported	
STG0074/ID00003/000018	stage	STG0074	ID00003	18	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	1ed80c8151b5f09e401cc9635a9674630bcdcb7279a99d69b88df997b12496b9	제우스		제우스	薦酔什		6	[]	imported	
STG0074/ID00003/000019	stage	STG0074	ID00003	19	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	3b19d0382a821f920447957edb19f0ffe10afae0a2b78fcd63ba3c17b2cd848b	여기는 차원의 틈새...		여기는 차원의 틈새…	食奄澗　託据税　憧歯…		22	[]	imported	
STG0074/ID00003/000020	stage	STG0074	ID00003	20	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	d0106a350e59e78efdcfb5412fa0d0e70da86c9f98c4c452bb023ddbe7ec7e46	시간과 공간을 초월한 우주다		시간과 공간을 초월한 우주다	獣娃引　因娃聖　段杉廃　酔爽陥		30	[]	imported	
STG0074/ID00003/000021	stage	STG0074	ID00003	21	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	코우지		코우지	坪酔走		6	[]	imported	
STG0074/ID00003/000022	stage	STG0074	ID00003	22	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	d6a93fe959a6315b1afe66c41a925101d3d2db29045749336929ddd0314b607d	그런데 왜 내가...		그런 곳에 어째서 내가…	益訓　員拭　嬢属辞　鎧亜…		26	[]	imported	
STG0074/ID00003/000023	stage	STG0074	ID00003	23	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	1ed80c8151b5f09e401cc9635a9674630bcdcb7279a99d69b88df997b12496b9	제우스		제우스	薦酔什		6	[]	imported	
STG0074/ID00003/000024	stage	STG0074	ID00003	24	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	1e0df55ad346fc240d8acf9a51f59567135075c4f9d9c2941f33edc68b13f748	의지력은 모든 것을 움직인다.		의지의 힘은 모든 것을 움직인다	税走税　毘精　乞窮　依聖　崇送昔陥		34	[]	imported	
STG0074/ID00003/000025	stage	STG0074	ID00003	25	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	9b0e523877c7ef36930ead3a90fd3139a38f6c7273bafd787e21fb27bb3285b0	시공간조차도다		시공간조차도 말이다	獣因娃繕託亀　源戚陥		20	[]	imported	
STG0074/ID00003/000026	stage	STG0074	ID00003	26	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	1ed80c8151b5f09e401cc9635a9674630bcdcb7279a99d69b88df997b12496b9	제우스		제우스	薦酔什		6	[]	imported	
STG0074/ID00003/000027	stage	STG0074	ID00003	27	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	0ea23b3e13292f52844d31016730672c9dda7dcebc521bf68ffab838224df07a	그래서 나와 너는 이렇게 만났다.		그러니까 나와 너는 이렇게 만날 수 있었다	益君艦猿　蟹人　格澗　戚係惟　幻劾　呪　赤醸陥		46	[]	imported	
STG0074/ID00003/000028	stage	STG0074	ID00003	28	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	33fa5ecc73a93302d8d0a46820f8bf36b598ec950ed0f763621bb364401c09fc	재회를 기쁘게 생각한다		재회를 기쁘게 생각한다	仙噺研　奄孜惟　持唖廃陥		24	[]	imported	
STG0074/ID00003/000029	stage	STG0074	ID00003	29	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	코우지		코우지	坪酔走		6	[]	imported	
STG0074/ID00003/000030	stage	STG0074	ID00003	30	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	32a1a7ec42aac31a144b27f812031331d89fd2d3b22f7b8dc00adfa50a1b6a46	재회...?		재회…?	仙噺…？		8	[]	imported	
STG0074/ID00003/000031	stage	STG0074	ID00003	31	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	1ed80c8151b5f09e401cc9635a9674630bcdcb7279a99d69b88df997b12496b9	제우스		제우스	薦酔什		6	[]	imported	
STG0074/ID00003/000032	stage	STG0074	ID00003	32	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	855a1c6c644c50a8de0ed0dc2812ab16f7d249c7eb529770d260c863de810136	수천년전...우리들 오륜포스의 신들은		수천 년 전… 우리 올림포스의 신들은	呪探　鰍　穿…　酔軒　臣顕匂什税　重級精		40	[]	imported	
STG0074/ID00003/000033	stage	STG0074	ID00003	33	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	2e7db7cb7317a2d6c86db01531f099e19f34886db88ba67af40a9f35f12316b3	바알과 싸우기 위한 전선 기지로서…		바알과 싸우기 위한 전선 기지로서…	郊硝引　塾酔奄　是廃　穿識　奄走稽辞…		38	[]	imported	
STG0074/ID00003/000034	stage	STG0074	ID00003	34	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	1ed80c8151b5f09e401cc9635a9674630bcdcb7279a99d69b88df997b12496b9	제우스		제우스	薦酔什		6	[]	imported	
STG0074/ID00003/000035	stage	STG0074	ID00003	35	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	9296578a4de272e6ccdba4bb880f4dacaace481e46978e7a0fe6cf7fc48e7706	은하의 변방에 있으면서, '오리진 로'가 가득한 별,		은하 변방에 있으면서 《오리진・로》가 가득한 별	精馬　痕号拭　赤生檎辞　《神軒遭・稽》亜　亜究廃　紺		52	[]	imported	
STG0074/ID00003/000036	stage	STG0074	ID00003	36	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	5f7087588f8e0668fac63908177e4751d7cf5854dbd48e18cebf8b455d174a2d	곧 지구로 내려갔다		즉 지구에 내려섰다	聡　走姥拭　鎧形執陥		20	[]	imported	
STG0074/ID00003/000037	stage	STG0074	ID00003	37	01_스테이지 xlsx 모음/STG0074(45화)-ID00003-script-통합.xlsx	f4099e69763ea8de8efa3e2c1ec7228736e80e789689ffd97da7e658bb779809	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	코우지		코우지	坪酔走		6	[]	imported	
