entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0076/ID00003/000004	stage	STG0076	ID00003	4	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	a61ad9c6bdfa8b40e593358ae721d17d3f585047664b55628f7f62b0a08495e9	~넬 아가마 통신실~		　　　　　　　～넬・아가마 통신실～	　　　　　　　～楽・焼亜原　搭重叔～		36	[]	imported	
STG0076/ID00003/000005	stage	STG0076	ID00003	5	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0076/ID00003/000006	stage	STG0076	ID00003	6	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	8e9387e76c613451ad847a7696dff51f29f42ba0e2b9288465312068edc7d2d5	…이, 이상이 유니콘을 탈취당한 경위입니다		…이,이상이 유니콘을 빼앗긴 경위입니다	…戚，戚雌戚　政艦嬬聖　皐粧延　井是脊艦陥		42	[]	imported	
STG0076/ID00003/000007	stage	STG0076	ID00003	7	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0076/ID00003/000008	stage	STG0076	ID00003	8	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	daf988c563d7c5255b77773647976dbf8b3f21965a8b7bd3a558e3402abbbf30	역시 아직 네오지온은 상자의 회수를		역시,아직 네오 지온은 상자의 회수를	蝕獣，焼送　革神　走紳精　雌切税　噺呪研		40	[]	imported	
STG0076/ID00003/000009	stage	STG0076	ID00003	9	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	8ddf88cc1ebeb01c646f72beec425b12e73fb5a284da6e424f86a6fcbc9657a7	포기하지 않은 것 같네요		포기하지 않은 것 같네요	匂奄馬走　省精　依　旭革推		26	[]	imported	
STG0076/ID00003/000010	stage	STG0076	ID00003	10	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0076/ID00003/000011	stage	STG0076	ID00003	11	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	4d2bcbe12a2b684f3206ac7c1e100b42431e4ae46742dee03ba38a08d9a7975f	네오 지온이라기보다는,		네오 지온…이라고 하기보다	革神　走紳…戚虞壱　馬奄左陥		28	[]	imported	
STG0076/ID00003/000012	stage	STG0076	ID00003	12	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	bd97051b48bc783e2db04f34fc13b0314931424fb21785deec945fa27f8363e5	풀 프론탈이라고 해야 하나		풀 프론탈이라고 해야 할까요	熱　覗経纏戚虞壱　背醤　拝猿推		30	[]	imported	
STG0076/ID00003/000013	stage	STG0076	ID00003	13	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0076/ID00003/000014	stage	STG0076	ID00003	14	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	f113f63b47913dfc212947bd27739e25aa4f7b26ac5de667db2efb70dec9df12	$c는 이 메리다 섬에서 보급을 받은 후,		$c는,이 메리다 섬에서	$ｃ澗，戚　五軒陥　雫拭辞		26	"[""$c""]"	imported	
STG0076/ID00003/000015	stage	STG0076	ID00003	15	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	ab2e45b17a243578d8a03ebaaba51510df9a9fefef0f8dcf4f3bb249f7261eb2	다카르로 향한다고 하는데, 그곳에서도 부대를		보급을 받은 후,다카르로 향한다고 합니다만	左厭聖　閤精　板，陥朝牽稽　狽廃陥壱　杯艦陥幻		46	[]	imported	
STG0076/ID00003/000016	stage	STG0076	ID00003	16	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	112d23feff8a327c3bad724f317d0c0cf16b0d089ca7fea07b2f4a575c3519de	수배할 수 없을까요?		거기서도 부대를 준비할 수 없을까요?	暗奄辞亀　採企研　層搾拝　呪　蒸聖猿推？		40	[]	imported	
STG0076/ID00003/000017	stage	STG0076	ID00003	17	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0076/ID00003/000018	stage	STG0076	ID00003	18	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	7a75c2f60289c16b163c930199d8c14d769b779b1ec771d2e318c42495b46208	왜?		어째서? 연방군 최강이라고 불리는	嬢属辞？　尻号浦　置悪戚虞壱　災軒澗		36	[]	imported	
STG0076/ID00003/000019	stage	STG0076	ID00003	19	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	c230932bfb3973bd1576d04377a56937ce16d2c1a2bea85e6b6f06529e91df6b	연방군 최강이라 일컬어지는 $c에 원군이라니		$c에 원군이라니	$ｃ拭　据浦戚虞艦		18	"[""$c""]"	imported	
STG0076/ID00003/000020	stage	STG0076	ID00003	20	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	9fadaa7a507f3f411549f5ebe6a52b4aa37e79e64b17401b397396a8a373edca	말도 안 되는 거 아니야?		말도 안 되는 소리 아닌가요?	源亀　照　鞠澗　社軒　焼観亜推？		32	[]	imported	
STG0076/ID00003/000021	stage	STG0076	ID00003	21	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0076/ID00003/000022	stage	STG0076	ID00003	22	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	b7a763f80a08e54a140575b5f18139bfc10c62c054cec10bec33650a20dcc037	하지만, 계속되는 전투로 그들도 피곤하고...		하지만,여러 번의 전투로 그들도 지쳐 있어서…	馬走幻，食君　腰税　穿燈稽　益級亀　走団　赤嬢辞…		50	[]	imported	
STG0076/ID00003/000023	stage	STG0076	ID00003	23	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0076/ID00003/000024	stage	STG0076	ID00003	24	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	32bdf047ffd0ce361c2bd45cae32de503f253c10fbf9ceff7a7c1ac77dd3c7ad	정이 많이 갔나 봐.		정이 든 것 같네요	舛戚　窮　依　旭革推		20	[]	imported	
STG0076/ID00003/000025	stage	STG0076	ID00003	25	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	eb343192754b3bc923b6aa39b14b2c01642b1dc442c892a75e26a9d2214d3ca2	한솥밥을 …하는 녀석인가		같은 솥의 밥을…이라는 건가요	旭精　尺税　剛聖…戚虞澗　闇亜推		32	[]	imported	
STG0076/ID00003/000026	stage	STG0076	ID00003	26	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0076/ID00003/000027	stage	STG0076	ID00003	27	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	d3253b326f00d61800898e335d533cb809349ee39fc73cafa8f2d6cc36b6d248	그, 그런 일은…!		그,그런 건…！	益，益訓　闇…！		16	[]	imported	
STG0076/ID00003/000028	stage	STG0076	ID00003	28	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0076/ID00003/000029	stage	STG0076	ID00003	29	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	2edfb2429ff31a0f3ab46e8f13ddd0c7b37ae4c55df548aa85fbe89ae9c83ea9	유감스럽지만, 그 요청을 받을 수 없어.		유감이지만,그 요구는 받아들일 수 없어요.연방군	政姶戚走幻，益　推姥澗　閤焼級析　呪　蒸嬢推．尻号浦		52	[]	imported	
STG0076/ID00003/000030	stage	STG0076	ID00003	30	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	b1298db96c622f273fd8bb830eba5b286a0caa384578b1d638353ef4a2ba9cce	연방 사령부는 다카르에 병력을 파견할 의사가 없다고 한다		총사령부는 다카르에 부대를 보낼 생각이 없어요	恥紫敬採澗　陥朝牽拭　採企研　左馨　持唖戚　蒸嬢推		50	[]	imported	
STG0076/ID00003/000031	stage	STG0076	ID00003	31	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0076/ID00003/000032	stage	STG0076	ID00003	32	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	4aa3573d75176b633cb6050d34cc8bc0c095b0a7cf0ba192a7ec3bf2158cb669	그러면 다카르와 $c는,		그러면 다카르와 $c는	益君檎　陥朝牽人　$ｃ澗		24	"[""$c""]"	imported	
STG0076/ID00003/000033	stage	STG0076	ID00003	33	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	c947271c9d76cd11a38e0733b0f0d4eef3a7e3e00dccea17de941d202249eae3	어떻게 되는 거예요!?		어떻게 되는 겁니까!?	嬢胸惟　鞠澗　位艦猿！？		24	[]	imported	
STG0076/ID00003/000034	stage	STG0076	ID00003	34	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0076/ID00003/000035	stage	STG0076	ID00003	35	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	e66267dcbfec8360c17b128b70d7e10aa7f9c93e9b90b741440368d2639e77f6	상자보다 그들이 더 신경쓰이는 것 같아		상자보다,그들 쪽이 더 신경 쓰이는 것 같네요	雌切左陥，益級　楕戚　希　重井　床戚澗　依　旭革推		50	[]	imported	
STG0076/ID00003/000036	stage	STG0076	ID00003	36	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0076/ID00003/000037	stage	STG0076	ID00003	37	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	61c04838c415653385289e861b1194e33b6d61425c8fcb6de03084262d72db85	으...		으…	生…		4	[]	imported	
STG0076/ID00003/000038	stage	STG0076	ID00003	38	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0076/ID00003/000039	stage	STG0076	ID00003	39	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	3fb3968bd8d495ff5bbb7de4861cbae82238fe5ecb32c6fc6442ab2da64be8f6	상자에 대해서는 걱정할 필요 없어.		상자에 대해서는 걱정하지 마세요	雌切拭　企背辞澗　案舛馬走　原室推		34	[]	imported	
STG0076/ID00003/000040	stage	STG0076	ID00003	40	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	aebb192b40cba484255d3e62d6235aefd3ab0289ff1b61f9c64f11fd72426dcd	위에 분들이 잘 정리를 해주니까		윗분들이 잘 해결해 줄 테니까요	性歳級戚　設　背衣背　匝　砺艦猿推		34	[]	imported	
STG0076/ID00003/000041	stage	STG0076	ID00003	41	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0076/ID00003/000042	stage	STG0076	ID00003	42	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	64b8631417c3e9f185133dd4a2c8a1df8b4f892e0b41f193354aab93dd044469	미네바 자비의 건도		미네바 자비의 건도	耕革郊　切搾税　闇亀		20	[]	imported	
STG0076/ID00003/000043	stage	STG0076	ID00003	43	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	95f84e63a141edce30a59a57d9edbad6df57f4e09a321a01e9fcedd3c9bef68a	내가 마땅히 받아야 할 사람에게 말을 할 거야		제가 적절한 인물에게 이야기를 전달할게요	薦亜　旋箭廃　昔弘拭惟　戚醤奄研　穿含拝惟推		44	[]	imported	
STG0076/ID00003/000044	stage	STG0076	ID00003	44	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0076/ID00003/000045	stage	STG0076	ID00003	45	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	9a9dfde64a45f5f5580ba89343188c276872949ce5b481b15fffbe0543a6d298	하아...		하아…	馬焼…		6	[]	imported	
STG0076/ID00003/000046	stage	STG0076	ID00003	46	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0076/ID00003/000047	stage	STG0076	ID00003	47	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	74ce38acc188f598b7dee06f3383aeae243fd31374ed1297c6eb19402c9a3737	당신의 임무도 일단락되었어요.		당신의 임무도,일단락되었어요	雁重税　績巷亀，析舘喰鞠醸嬢推		30	[]	imported	
STG0076/ID00003/000048	stage	STG0076	ID00003	48	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	8dd32b9b8d813873a65574a508e261506895a64489ef32bddcff2388a5a63c6d	그쪽에서 포로로 잡은 강화인간을 오거스타로		거기서 포로로 잡은 강화인간을 오거스타에	暗奄辞　匂稽稽　説精　悪鉢昔娃聖　神暗什展拭		44	[]	imported	
STG0076/ID00003/000049	stage	STG0076	ID00003	49	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	32d620a33c8cb2db901285426be7178fb6efc81fabb892524bf2f54f8544dbff	운반한다는 명목으로 부대를 떠나라		운반한다는 명목으로,부대를 떠나세요	錘鋼廃陥澗　誤鯉生稽，採企研　彊蟹室推		38	[]	imported	
STG0076/ID00003/000050	stage	STG0076	ID00003	50	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0076/ID00003/000051	stage	STG0076	ID00003	51	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	b06e54206b85517df646ed30c6dcccdcd91788984808eff9fa774e49bc5aaa15	오거스타의 뉴타입 연인가요….		오거스타의 뉴타입 연구소인가요…	神暗什展税　敢展脊　尻姥社昔亜推…		34	[]	imported	
STG0076/ID00003/000052	stage	STG0076	ID00003	52	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	9d6c19a8f62361c441545275beb850238035ea5e1f121689f31a6167da1a0d79	그곳은 폐쇄된 것으로 알고 있습니다만…		거긴 폐쇄되었다고 들었는데…	暗延　二錫鞠醸陥壱　級醸澗汽…		30	[]	imported	
STG0076/ID00003/000053	stage	STG0076	ID00003	53	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0076/ID00003/000054	stage	STG0076	ID00003	54	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	53fef460034913571f2364315b970ae3dd0533e6d020ed5d6fc9f819e04203e1	재조정을 위해 필요한 장비가 남아 있어요		재조정에 필요한 설비는 남아 있어요	仙繕舛拭　琶推廃　竺搾澗　害焼　赤嬢推		38	[]	imported	
STG0076/ID00003/000055	stage	STG0076	ID00003	55	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0076/ID00003/000056	stage	STG0076	ID00003	56	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	569d8a464a92413b357e46b41a205181dc04b6d98c703358013185049645a208	뭘 하려고요?		뭘 하려는 겁니까?	校　馬形澗　位艦猿？		20	[]	imported	
STG0076/ID00003/000057	stage	STG0076	ID00003	57	01_스테이지 xlsx 모음/STG0076(47화A)-ID00003-script-통합.xlsx	95821f190f2b05a63c29c55f11ceda95289d9b892d4fb316639a12be35c0ebcf	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
