entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0098a/ID00003/000004	stage	STG0098a	ID00003	4	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	961d333f88f97e32005b9ea27c5678a85e7b6731082e1e2faaa17695acddcb8c	~초은하 다이그렌 브릿지~		　　　　　　～초은하 다이그렌 함교～	　　　　　　～段精馬　陥戚益兄　敗嘘～		38	[]	imported	
STG0098a/ID00003/000005	stage	STG0098a	ID00003	5	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	d8e7f8c0d69005beae394e365e2414f1ada0bf93fe8d0b0169d101450db6c921	로제놈		로제놈	稽薦叶		6	[]	imported	
STG0098a/ID00003/000006	stage	STG0098a	ID00003	6	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	7a906b7da234cfbf12f1aed26c3335e2e54140fa5c865523fa36a2820b66456c	...지금, 안티스파이럴 본별의 위치를 확인했다		…지금,안티 스파이럴 본성의 위치를 확인했습니다	…走榎，照銅　什督戚群　沙失税　是帖研　溌昔梅柔艦陥		52	[]	imported	
STG0098a/ID00003/000007	stage	STG0098a	ID00003	7	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	6d13935fae69e32c736ac42982c1026a87538a9f866f4a13b9321fd0af88842d	시몬		시몬	獣佼		4	[]	imported	
STG0098a/ID00003/000008	stage	STG0098a	ID00003	8	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	09dca2406ce808282cd7cb88d5998eeff26605b2a9e63996bb8d2fc8b3b9ca14	정말인가, 로제놈!?		정말인가,로제놈！？	舛源昔亜，稽薦叶！？		20	[]	imported	
STG0098a/ID00003/000009	stage	STG0098a	ID00003	9	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	39a460490bca1560b6b238e0266c0a0904132fd917150b61af130589b5f1a4e1	다야카		다얏카	陥丈朝		6	[]	imported	
STG0098a/ID00003/000010	stage	STG0098a	ID00003	10	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	fe3b9512236c4ae87b7e1776bfd4e8e6602ee25236d3e949f7d54792fdc11b54	그런데 어떻게 한 거야?		하지만,어떻게 한 거지?	馬走幻，嬢胸惟　廃　暗走？		26	[]	imported	
STG0098a/ID00003/000011	stage	STG0098a	ID00003	11	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	21fee0ea43b80cca7086dda3a74facf62298e78522ab743940f00c698e80f8c7	무슨 단서라도 있었던 건지...		뭔가 단서라도 있었나…?	杭亜　舘辞虞亀　赤醸蟹…？		26	[]	imported	
STG0098a/ID00003/000012	stage	STG0098a	ID00003	12	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	d8e7f8c0d69005beae394e365e2414f1ada0bf93fe8d0b0169d101450db6c921	로제놈		로제놈	稽薦叶		6	[]	imported	
STG0098a/ID00003/000013	stage	STG0098a	ID00003	13	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	921856cb89cac6888186075bc34e604cb5bc699271a5d4d336c09e33d38d9e0a	그것에 대해서는 나중에 이야기하자		그것에 대해서는 나중에 이야기하죠	益依拭　企背辞澗　蟹掻拭　戚醤奄馬倉		36	[]	imported	
STG0098a/ID00003/000014	stage	STG0098a	ID00003	14	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	d8e7f8c0d69005beae394e365e2414f1ada0bf93fe8d0b0169d101450db6c921	로제놈		로제놈	稽薦叶		6	[]	imported	
STG0098a/ID00003/000015	stage	STG0098a	ID00003	15	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	5dc043bf25d670f5566c68b6eb411bbac092ef313fcad6f77f968021d17e8e11	중요한 것은 이 카테드랄 테라...		중요한 것은,이 카테드랄・테라…	掻推廃　依精，戚　朝砺球偶・砺虞…		34	[]	imported	
STG0098a/ID00003/000016	stage	STG0098a	ID00003	16	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	028844b4046deb8fea0823279e6e284073a1cb45966a1deb7a64545d9b78222b	아니, 초은하 다이그렌이라면, 거기로의 차원 도약도		아니,초은하 다이그렌이라면,거기로의 차원 도약도	焼艦，段精馬　陥戚益兄戚虞檎，暗奄稽税　託据　亀鉦亀		52	[]	imported	
STG0098a/ID00003/000017	stage	STG0098a	ID00003	17	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	788f1fc0540dbc04383a7d61dd4336c50163d6490af7540698f59b342c01d83e	가능하다는 것이다		가능하다는 것입니다	亜管馬陥澗　依脊艦陥		20	[]	imported	
STG0098a/ID00003/000018	stage	STG0098a	ID00003	18	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	047dc62694f0ac9e470fb67906fc3549f2ccffc921897198f4fefe441a092c49	리론		리론	軒経		4	[]	imported	
STG0098a/ID00003/000019	stage	STG0098a	ID00003	19	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	75395bf6bee37890817e150085d0c957c9dc1b09b530d90c5f1233ff94798dc1	나이스야.		나이스 군요.그럼 인류의	蟹戚什　浦推．益軍　昔嫌税		26	[]	imported	
STG0098a/ID00003/000020	stage	STG0098a	ID00003	20	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	dfb98494df123477cd476f20af69a7c2b429719f86c88ca40b1e89962b072412	그럼 인류의 희망을 등에 업고 가자잖아		희망을 짊어지고,가보자는 거 아니겠어요	費諺聖　騒嬢走壱，亜左切澗　暗　焼艦畏嬢推		42	[]	imported	
STG0098a/ID00003/000021	stage	STG0098a	ID00003	21	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	6d13935fae69e32c736ac42982c1026a87538a9f866f4a13b9321fd0af88842d	시몬		시몬	獣佼		4	[]	imported	
STG0098a/ID00003/000022	stage	STG0098a	ID00003	22	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	e6c6e1bf671eaeacc071cd7b626455388c0abee8b5b2936fb7d7365b9a0995cf	거기 니아도 있어...		거기에 니아도 있어…	暗奄拭　艦焼亀　赤嬢…		22	[]	imported	
STG0098a/ID00003/000023	stage	STG0098a	ID00003	23	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	5e445c7767f5d19ab9e2b98c54123734ade71f0972017ccef4dfbb0ae0c41f61	부타		부타	採展		4	[]	imported	
STG0098a/ID00003/000024	stage	STG0098a	ID00003	24	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	f7d5128f7a8173e2d4f5ac7fe9bb5b357837db33a4760914bc330685ac6e3e8d	땡!		땡!	強！		4	[]	imported	
STG0098a/ID00003/000025	stage	STG0098a	ID00003	25	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	6d13935fae69e32c736ac42982c1026a87538a9f866f4a13b9321fd0af88842d	시몬		시몬	獣佼		4	[]	imported	
STG0098a/ID00003/000026	stage	STG0098a	ID00003	26	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	bdfd8171c75137f2661d997c674d95632674c0db0b8368425d11b8e5c900d5de	기다려라, 안티스파이럴.		기다려라,안티 스파이럴	奄陥形虞，照銅　什督戚群		24	[]	imported	
STG0098a/ID00003/000027	stage	STG0098a	ID00003	27	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	5e4c4a66488e07c52f27693f3196e945ed167a2231361597b0b8a9fa534b8757	이제 이쪽이 공격할 차례다!		이번에는,이쪽이 공격할 차례다!	戚腰拭澗，戚楕戚　因維拝　託景陥！		34	[]	imported	
STG0098a/ID00003/000030	stage	STG0098a	ID00003	30	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	d22088b7195f13631f68fe293c9fa3cf2066ba88a96d6df7cf997239dee3774d	　　　　　　　~초은하 다이그렌 격납고~		　　　　　　　～초은하 다이그렌 격납고～	　　　　　　　～段精馬　陥戚益兄　維崖壱～		42	[]	imported	
STG0098a/ID00003/000031	stage	STG0098a	ID00003	31	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0098a/ID00003/000032	stage	STG0098a	ID00003	32	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	4eac86f1aff84b013e61f1d3faa75679ff1aacc935c03d4e5befeb15e4211e4e	그렇지? 이 초은하 다이그렌이라니!		엄청 크네,이 초은하 다이그렌!	畳短　滴革，戚　段精馬　陥戚益兄！		34	[]	imported	
STG0098a/ID00003/000033	stage	STG0098a	ID00003	33	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
STG0098a/ID00003/000034	stage	STG0098a	ID00003	34	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	95a03acfc9f48c7af9f5061eafd19e189c10ab7caa1569bf0713ffa86cd0e3dc	원래는 달과 비슷한 크기였는걸		원래는 달과 같은 정도의 크기였으니까	据掘澗　含引　旭精　舛亀税　滴奄心生艦猿		40	[]	imported	
STG0098a/ID00003/000035	stage	STG0098a	ID00003	35	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	047dc62694f0ac9e470fb67906fc3549f2ccffc921897198f4fefe441a092c49	리론		리론	軒経		4	[]	imported	
STG0098a/ID00003/000036	stage	STG0098a	ID00003	36	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	977e884edafb81d72555f696f9e7d6f520187029600d1a4da8acb2be0c81448c	너무 크니까, 이 함안은		너무 커서,이 함 내부는 각 포인트에 설치된	格巷　朕辞，戚　敗　鎧採澗　唖　匂昔闘拭　竺帖吉		48	[]	imported	
STG0098a/ID00003/000037	stage	STG0098a	ID00003	37	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	f27b3c71a607a0441da4fb9f564fc609c1320e410f71308621cb967ddbcecd03	각 포인트에 설치된 숏워프 장치로 이동하는 거야		쇼트 워프 장치로 이동하는 거야	珠闘　趨覗　舌帖稽　戚疑馬澗　暗醤		34	[]	imported	
STG0098a/ID00003/000038	stage	STG0098a	ID00003	38	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	fa9340198eeaa266f350a59c09940fabea3390fb9800cf2afc7cba1324d1e800	알토		알토	硝塘		4	[]	imported	
STG0098a/ID00003/000039	stage	STG0098a	ID00003	39	01_스테이지 xlsx 모음/STG0098a(59화)-ID00003-script-통합.xlsx	0b3c6f08d6875904fef9de07b88611d4c24d2ca178a2c874d1cf21738122716c	0ff7197ab01eb24e089d33f2379b4c9c467a9bbcd747ec906d66509deedba02f	하나부터 열까지 규격 밖이군		뭐든지 규격 외구나	更窮走　鋭維　須姥蟹		20	[]	imported	
