entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0050a/ID00003/000004	stage	STG0050a	ID00003	4	01_스테이지 xlsx 모음/STG0050a(32화)-ID00003-script-통합.xlsx	dbdcb62c51ac3090b35287b00fdd80a0073c3a7498c88bcd15d9af5208d778e0	e55fb77d95cc837aaa2f7db922eeecbd725f0e670f41a60fdd1159d1994d77e3	~라카이람 브리핑룸~		　　　　　　～라・카이람 브리핑룸～	　　　　　　～虞・朝戚寓　崎軒芭結～		36	[]	imported	
STG0050a/ID00003/000005	stage	STG0050a	ID00003	5	01_스테이지 xlsx 모음/STG0050a(32화)-ID00003-script-통합.xlsx	dbdcb62c51ac3090b35287b00fdd80a0073c3a7498c88bcd15d9af5208d778e0	312cbf08471d115ce4c64d4d13c26244573ad89cf655bedb2fe047a3fe92fb5f	브라이트		브라이트	崎虞戚闘		8	[]	imported	
STG0050a/ID00003/000006	stage	STG0050a	ID00003	6	01_스테이지 xlsx 모음/STG0050a(32화)-ID00003-script-통합.xlsx	dbdcb62c51ac3090b35287b00fdd80a0073c3a7498c88bcd15d9af5208d778e0	61dca44a7ead2d479b9012cfeae6cf327d22b0037a099a575777d2fba717115d	인류 역사의 종언.		…인류 역사의 종언…	…昔嫌　蝕紫税　曽情…		22	[]	imported	
STG0050a/ID00003/000007	stage	STG0050a	ID00003	7	01_스테이지 xlsx 모음/STG0050a(32화)-ID00003-script-통합.xlsx	dbdcb62c51ac3090b35287b00fdd80a0073c3a7498c88bcd15d9af5208d778e0	d1a5eb68705a7abf4df32c5e22c98494eb17cac2467328357f2a954d0508e0fd	어처구니없다고 잘라버리는 것 치고는,		어처구니없다고 무시하기에는,	嬢坦姥艦蒸陥壱　巷獣馬奄拭澗，		30	[]	imported	
STG0050a/ID00003/000008	stage	STG0050a	ID00003	8	01_스테이지 xlsx 모음/STG0050a(32화)-ID00003-script-통합.xlsx	dbdcb62c51ac3090b35287b00fdd80a0073c3a7498c88bcd15d9af5208d778e0	9c0daf66eb9eac28010ac53ada254a30d89486b59114dfd2bb838028c92bd407	그 남자는 어드벤트라는 말에 확신에 차 있었다		그 어드벤트라는 남자의 말은 확신에 차 있었다	益　嬢球坤闘虞澗　害切税　源精　溌重拭　託　赤醸陥		50	[]	imported	
STG0050a/ID00003/000009	stage	STG0050a	ID00003	9	01_스테이지 xlsx 모음/STG0050a(32화)-ID00003-script-통합.xlsx	dbdcb62c51ac3090b35287b00fdd80a0073c3a7498c88bcd15d9af5208d778e0	5669cc977af82c0ee7dde2833e63534732b88cad1ddfb83da5227744cf2df97d	제프리		제프리	薦覗軒		6	[]	imported	
STG0050a/ID00003/000010	stage	STG0050a	ID00003	10	01_스테이지 xlsx 모음/STG0050a(32화)-ID00003-script-통합.xlsx	dbdcb62c51ac3090b35287b00fdd80a0073c3a7498c88bcd15d9af5208d778e0	1d10a7cd8fc7f0fb9152a209a428e15717c752a5efcacd9ecb9a1b3d22369709	일소에 부치기에는 너무 무거운 말이군		웃음으로 넘기기에는,너무 무거운 말이군	数製生稽　角奄奄拭澗，格巷　巷暗錘　源戚浦		42	[]	imported	
STG0050a/ID00003/000011	stage	STG0050a	ID00003	11	01_스테이지 xlsx 모음/STG0050a(32화)-ID00003-script-통합.xlsx	dbdcb62c51ac3090b35287b00fdd80a0073c3a7498c88bcd15d9af5208d778e0	1e7975082b673fe29544c5368bc8a0cb941c54d1f8ce06d83411c3c088633c59	Ｆ．Ｓ．.		F.S.	Ｆ．Ｓ．		8	[]	imported	
STG0050a/ID00003/000012	stage	STG0050a	ID00003	12	01_스테이지 xlsx 모음/STG0050a(32화)-ID00003-script-통합.xlsx	dbdcb62c51ac3090b35287b00fdd80a0073c3a7498c88bcd15d9af5208d778e0	953fdd06d06880549d8602cb3102ae07c23fcef35ce1e07a9ab47e08bf136238	그가 나타낸 위치,		그가 제시한 위치,	益亜　薦獣廃　是帖，		20	[]	imported	
STG0050a/ID00003/000013	stage	STG0050a	ID00003	13	01_스테이지 xlsx 모음/STG0050a(32화)-ID00003-script-통합.xlsx	dbdcb62c51ac3090b35287b00fdd80a0073c3a7498c88bcd15d9af5208d778e0	7544541de5c0d2eb85032a7480c289e0599695f0d3c5c7c1b124a5e0b99516b6	북위 23도 32분, 동경 161도 22분은		북위 23도 32분,동경 161도 22분은	栽是　２３亀　３２歳，疑井　１６１亀　２２歳精		46	[]	imported	
