entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0030/ID00003/000004	stage	STG0030	ID00003	4	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	635a047dba48b2e8ef1b8913976e7e885b0bce97fa071d4c19a43ac3f12bab5e	~크러셔대 기지 격납고~		　　　　　　～크러셔대 기지 격납고～	　　　　　　～滴君偲企　奄走　維崖壱～		38	[]	imported	
STG0030/ID00003/000005	stage	STG0030	ID00003	5	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	17c2b50ec558852cccfa0462cb49a232376194e3f35e29955420d910e1718209	블랙옥스		블랙옥스	鷺窟秦什		8	[]	imported	
STG0030/ID00003/000006	stage	STG0030	ID00003	6	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0030/ID00003/000007	stage	STG0030	ID00003	7	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
STG0030/ID00003/000008	stage	STG0030	ID00003	8	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	314a5d87b4405f206e69a0d7075b5e5550d06975f4e2bd89c8f7d994bd6e7467	왜 그래, 옥스(オックス？、)?		왜 그래,옥스?	訊　益掘，秦什？		16	[]	imported	
STG0030/ID00003/000009	stage	STG0030	ID00003	9	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	17c2b50ec558852cccfa0462cb49a232376194e3f35e29955420d910e1718209	블랙옥스		블랙옥스	鷺窟秦什		8	[]	imported	
STG0030/ID00003/000010	stage	STG0030	ID00003	10	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0030/ID00003/000011	stage	STG0030	ID00003	11	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
STG0030/ID00003/000012	stage	STG0030	ID00003	12	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	7f364f3ed295ed21e93864042bb24e61a8c7534481718082f3ae64cc0859721e	이제 곧 우주로 간다는데		곧 우주에 갈 텐데	稲　酔爽拭　哀　度汽		20	[]	imported	
STG0030/ID00003/000013	stage	STG0030	ID00003	13	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	fd70093e04dd3f1f8cd1b7701697a64041a14999331e3b1e4299efcdc6d46c6f	뭐가 마음에 안 들어?		뭐가 마음에 안 드는 거야?	更亜　原製拭　照　球澗　暗醤？		30	[]	imported	
STG0030/ID00003/000014	stage	STG0030	ID00003	14	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	17c2b50ec558852cccfa0462cb49a232376194e3f35e29955420d910e1718209	블랙옥스		블랙옥스	鷺窟秦什		8	[]	imported	
STG0030/ID00003/000015	stage	STG0030	ID00003	15	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0030/ID00003/000016	stage	STG0030	ID00003	16	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0030/ID00003/000017	stage	STG0030	ID00003	17	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	ba52ec5145ef3acecdbfd0852931267640dbaeb7cb7c11a2ed73af4fb8a4f135	쇼타로군... 여기는 나에게 맡겨		쇼타로 군…여기는 나한테 맡겨	珠展稽　浦…食奄澗　蟹廃砺　乎移		32	[]	imported	
STG0030/ID00003/000018	stage	STG0030	ID00003	18	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
STG0030/ID00003/000019	stage	STG0030	ID00003	19	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	48e6b3cba481a0bd67ad05aeeb60f8cb3bd4756540b78a5942419d13646b12ee	스즈네 선생님...		스즈네 선생님…	什綜革　識持還…		16	[]	imported	
STG0030/ID00003/000020	stage	STG0030	ID00003	20	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0030/ID00003/000021	stage	STG0030	ID00003	21	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	bc839fce911e851996f8d2f7ab4286ac03a8565cf239e74449a0247e3cd92bc3	나도 교육자의 알이거든.		나도 교육자 지망생이니까	蟹亀　嘘整切　走諺持戚艦猿		26	[]	imported	
STG0030/ID00003/000022	stage	STG0030	ID00003	22	01_스테이지 xlsx 모음/STG0030(18화)-ID00003-script-통합.xlsx	38c4c81d1904b7860230a3a1952e86e4ef32dc49bd1168529dddfe59bf6725ef	2721ad17c09209e722c1d1707345fb0da5b5b2e3280531575975dadc4c54cc90	어떻게든 블랙옥스의 마음을 열어보겠어요		어떻게든 블랙옥스의 마음을 열어 보이겠어	嬢胸惟窮　鷺窟秦什税　原製聖　伸嬢　左戚畏嬢		44	[]	imported	
