entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0058/ID00003/000004	stage	STG0058	ID00003	4	01_스테이지 xlsx 모음/STG0058(40화A)-ID00003-script-통합.xlsx	7e58008a60133290a4c0125d6e4c2d0a8a7e84fb4276a48d59c97a56d2b41b07	a61ad9c6bdfa8b40e593358ae721d17d3f585047664b55628f7f62b0a08495e9	~넬 아가마 통신실~		　　　　　　　～넬・아가마 통신실～	　　　　　　　～楽・焼亜原　搭重叔～		36	[]	imported	
STG0058/ID00003/000005	stage	STG0058	ID00003	5	01_스테이지 xlsx 모음/STG0058(40화A)-ID00003-script-통합.xlsx	7e58008a60133290a4c0125d6e4c2d0a8a7e84fb4276a48d59c97a56d2b41b07	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0058/ID00003/000006	stage	STG0058	ID00003	6	01_스테이지 xlsx 모음/STG0058(40화A)-ID00003-script-통합.xlsx	7e58008a60133290a4c0125d6e4c2d0a8a7e84fb4276a48d59c97a56d2b41b07	6b7da324732c800bcaabd65c8522094e039cb690fb795b0dbb8ca41e3a6f03ea	결과는 어땠어요?		결과는 어떻습니까?	衣引澗　嬢胸柔艦猿？		20	[]	imported	
STG0058/ID00003/000007	stage	STG0058	ID00003	7	01_스테이지 xlsx 모음/STG0058(40화A)-ID00003-script-통합.xlsx	7e58008a60133290a4c0125d6e4c2d0a8a7e84fb4276a48d59c97a56d2b41b07	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0058/ID00003/000008	stage	STG0058	ID00003	8	01_스테이지 xlsx 모음/STG0058(40화A)-ID00003-script-통합.xlsx	7e58008a60133290a4c0125d6e4c2d0a8a7e84fb4276a48d59c97a56d2b41b07	073f8ad2f8e8d677e0e6481b2cd3c127bf8b3a7a83640255134eeafccc6d92cb	당신이 보내준 유니콘의 데이터를 해석한것으로		당신이 보내준 유니콘의 데이터를 분석한 결과	雁重戚　左鎧層　政艦嬬税　汽戚斗研　歳汐廃　衣引		48	[]	imported	
STG0058/ID00003/000009	stage	STG0058	ID00003	9	01_스테이지 xlsx 모음/STG0058(40화A)-ID00003-script-통합.xlsx	7e58008a60133290a4c0125d6e4c2d0a8a7e84fb4276a48d59c97a56d2b41b07	f21ca37a99e9d2394602922af5fe7155808872aff8863c9ac6655f8cba52c537	나는 어떤 사실을 알게 되었다		어떤 사실을 알게 되었어요	嬢恐　紫叔聖　硝惟　鞠醸嬢推		28	[]	imported	
STG0058/ID00003/000010	stage	STG0058	ID00003	10	01_스테이지 xlsx 모음/STG0058(40화A)-ID00003-script-통합.xlsx	7e58008a60133290a4c0125d6e4c2d0a8a7e84fb4276a48d59c97a56d2b41b07	66b2196069c5ecd0bd7da09e2e6d55a948dfee892cff2454ea15478f58979e25	알베르토		알베르토	硝今牽塘		8	[]	imported	
STG0058/ID00003/000011	stage	STG0058	ID00003	11	01_스테이지 xlsx 모음/STG0058(40화A)-ID00003-script-통합.xlsx	7e58008a60133290a4c0125d6e4c2d0a8a7e84fb4276a48d59c97a56d2b41b07	3c25810534e75c08e3a94e952b04a116b83e9237d702ad14cb5a1fba2c028aad	라고 하면요?		그건 어떤?	益闇　嬢恐？		12	[]	imported	
STG0058/ID00003/000012	stage	STG0058	ID00003	12	01_스테이지 xlsx 모음/STG0058(40화A)-ID00003-script-통합.xlsx	7e58008a60133290a4c0125d6e4c2d0a8a7e84fb4276a48d59c97a56d2b41b07	301455dc512e1f843ea532f20783076627e8215650fd6581cd337806b347bed6	마사		마사	原紫		4	[]	imported	
STG0058/ID00003/000013	stage	STG0058	ID00003	13	01_스테이지 xlsx 모음/STG0058(40화A)-ID00003-script-통합.xlsx	7e58008a60133290a4c0125d6e4c2d0a8a7e84fb4276a48d59c97a56d2b41b07	aeecd2d8ccfde225ee9cab6bd488565c17f1941f97f70d805e0b6b4af4c5cf67	역시, 저건 라플라스(ラプラスの箱)의 상자 열쇠였어.		역시 그건 라플라스의 궤의 열쇠였어요	蝕獣　益闇　虞巴虞什税　泳税　伸取心嬢推		40	[]	imported	
