entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0020/ID00003/000004	stage	STG0020	ID00003	4	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	67951e766ed4fb7d169afaa1cd1491d1e64f8f9aed606b56f8fbc6174a61c14b	~제3신도쿄시립제일중학교~		　　　　　　~제3신도쿄시 시립 제1중학교~	　　　　　　～薦３重亀底獣　獣験　薦１掻俳嘘～		46	[]	imported	
STG0020/ID00003/000005	stage	STG0020	ID00003	5	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0020/ID00003/000006	stage	STG0020	ID00003	6	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	8e8bbe4e4525b98ecff97b35bc2bd7dec7baa40f8bb6767d092de609c0d1f9f6	푹...		윽…	盛…		4	[]	imported	
STG0020/ID00003/000007	stage	STG0020	ID00003	7	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	a1f11b49a59cef3b264b1cfc32da653f940bf337265e433acc2573e0b70578f2	토우시		토우지	塘酔走		6	[]	imported	
STG0020/ID00003/000008	stage	STG0020	ID00003	8	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	f1e2c53445e0d9f8adce3897945312e7f64e734b969aee1ea5d8101074860a2b	미안해 전학생.		미안하다,전학생	耕照馬陥，穿俳持		16	[]	imported	
STG0020/ID00003/000009	stage	STG0020	ID00003	9	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	2b1bb006845d2af4983d134f44fcff7141459e685ffdca0afa24878ad81ef1c5	독수리는 너를 때리지 마라.		난 널 때려야겠다	貝　確　凶形醤畏陥		18	[]	imported	
STG0020/ID00003/000010	stage	STG0020	ID00003	10	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	b0e9ee04e18726b5e845e69dc601577ca310db8ffe8b97adb5fe66f9b74f99cb	때린다든가 하는 기분이 미안하구나		때리지 않으면 속이 시원찮아	凶軒走　省生檎　紗戚　獣据諾焼		30	[]	imported	
STG0020/ID00003/000011	stage	STG0020	ID00003	11	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0020/ID00003/000012	stage	STG0020	ID00003	12	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0020/ID00003/000013	stage	STG0020	ID00003	13	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	a1f11b49a59cef3b264b1cfc32da653f940bf337265e433acc2573e0b70578f2	토우시		토우지	塘酔走		6	[]	imported	
STG0020/ID00003/000014	stage	STG0020	ID00003	14	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	7ebf49239cdadbb2ccf3b8748c85520cc0541a1e53df447a1d32e2b68bf263bd	네가 그 EVA라는 것의 파일럿이라는 것은,		네가 그 EVA라는 거 파일럿이라는 건,	革亜　益　ＥＶＡ虞澗　暗　督析卦戚虞澗　闇，		44	[]	imported	
STG0020/ID00003/000015	stage	STG0020	ID00003	15	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	50d61491d1f833f305b57d5319caff93d7b9f51a82077eaa210019fad9686a8b	이미 학교의 모든사람들이 알고있는것이나		이미 학교 모두가 아는 사실이야	戚耕　俳嘘　乞砧亜　焼澗　紫叔戚醤		34	[]	imported	
STG0020/ID00003/000016	stage	STG0020	ID00003	16	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0020/ID00003/000017	stage	STG0020	ID00003	17	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0020/ID00003/000018	stage	STG0020	ID00003	18	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	17de9647feefed3a95e980e73dc5d86eac2410c588c528b85f64caa47f4c7632	켄스케		켄스케	痛什追		6	[]	imported	
STG0020/ID00003/000019	stage	STG0020	ID00003	19	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	35e68b597445c2c1358fc262b6dd20798c8e0b329412551397499673694e0be4	미안해...		미안해…	耕照背…		8	[]	imported	
STG0020/ID00003/000020	stage	STG0020	ID00003	20	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	cb8e93fef4d1589589d655f0a16f0fa21e82cbb6fc85e234828208d9568b6147	요전번의 소동으로 그 녀석의 여동생,		저번 소동 때 얘 여동생이,	煽腰　社疑　凶　剰　食疑持戚，		30	[]	imported	
STG0020/ID00003/000021	stage	STG0020	ID00003	21	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	3f6edeaa3d463a27531d1bd60e0d8d36e588f85b5bd6b918bc1be716d348e006	다쳐서 말이야		다쳐서 말이지	陥団辞　源戚走		14	[]	imported	
STG0020/ID00003/000022	stage	STG0020	ID00003	22	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	17de9647feefed3a95e980e73dc5d86eac2410c588c528b85f64caa47f4c7632	켄스케		켄스케	痛什追		6	[]	imported	
STG0020/ID00003/000023	stage	STG0020	ID00003	23	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	85fbe62725a201e18a9d34504056f407d0a2075893e7bec4f86961f12df7be14	뭐..그런거니까		뭐…그런 거니까	更…益訓　暗艦猿		16	[]	imported	
STG0020/ID00003/000024	stage	STG0020	ID00003	24	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0020/ID00003/000025	stage	STG0020	ID00003	25	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	753c95a2daafbf189fb4f177aa5640f4ea57ac810705d727494598a1097bfd2c	나도 타고 싶어서 탄게 아닌데...		…나도 타고 싶어서 탄 게 아닌데…	…蟹亀　展壱　粛嬢辞　添　惟　焼観汽…		38	[]	imported	
STG0020/ID00003/000026	stage	STG0020	ID00003	26	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	a1f11b49a59cef3b264b1cfc32da653f940bf337265e433acc2573e0b70578f2	토우시		토우지	塘酔走		6	[]	imported	
STG0020/ID00003/000027	stage	STG0020	ID00003	27	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	422d92c6c16fd88ac439cba2f346ba90d2e70b07207bc8addd540756c7ec14cc	입닥쳐!		닥쳐!	韓団！		6	[]	imported	
STG0020/ID00003/000028	stage	STG0020	ID00003	28	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0020/ID00003/000029	stage	STG0020	ID00003	29	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	e5af04683204bc24171dbcdb6c23b71f3e30d9cf91ebb81f09c44cf5cd78c8ab	크...		크…	滴…		4	[]	imported	
STG0020/ID00003/000030	stage	STG0020	ID00003	30	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	a1f11b49a59cef3b264b1cfc32da653f940bf337265e433acc2573e0b70578f2	토우시		토우지	塘酔走		6	[]	imported	
STG0020/ID00003/000031	stage	STG0020	ID00003	31	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	bfffceeb7b13ea01ec6b270d624cfb7e974f5e7a5ac7762b12017ccabd47b8f5	가, 켄스케!		간다,켄스케!	娃陥，痛什追！		14	[]	imported	
STG0020/ID00003/000032	stage	STG0020	ID00003	32	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	17de9647feefed3a95e980e73dc5d86eac2410c588c528b85f64caa47f4c7632	켄스케		켄스케	痛什追		6	[]	imported	
STG0020/ID00003/000033	stage	STG0020	ID00003	33	01_스테이지 xlsx 모음/STG0020(13화B)-ID00003-script-통합.xlsx	9a4e4a9d13c996871eeed2b1f545ac0578065748861ab9391f4d7ea0bf637a6d	44ab333bb1f268710c42e6e9861b1baef50a31cebdf447d5b0b8776461f0cc17	그럼, 전학생		그럼,전학생	益軍，穿俳持		12	[]	imported	
