entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0242-21화후B분기/ID00003/000002	stage	STG0242-21화후B분기	ID00003	2	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0242-21화후B분기/ID00003/000003	stage	STG0242-21화후B분기	ID00003	3	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0242-21화후B분기/ID00003/000006	stage	STG0242-21화후B분기	ID00003	6	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~		　　　　　　　　　　～D트레이더～	　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0242-21화후B분기/ID00003/000007	stage	STG0242-21화후B분기	ID00003	7	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0242-21화후B분기/ID00003/000008	stage	STG0242-21화후B분기	ID00003	8	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	2123058de5b7432b71a54874934e329dc5a5e35c74a8db380cf5ec864690a97b	자, 자, $n님들은		자,$n 님들은	切，$ｎ　還級精		16	"[""$n""]"	imported	
STG0242-21화후B분기/ID00003/000009	stage	STG0242-21화후B분기	ID00003	9	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	5cb0dd6b89b25fc2361783472f3094a24a79d30bbadc51c41495670f15b62999	일본으로 돌아가신다면서요		일본으로 돌아가신다네요	析沙生稽　宜焼亜重陥革推		24	[]	imported	
STG0242-21화후B분기/ID00003/000010	stage	STG0242-21화후B분기	ID00003	10	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0242-21화후B분기/ID00003/000011	stage	STG0242-21화후B분기	ID00003	11	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	6258db41a0d040be1f7ff31095aecad1861a78ee7d8383b1c4968ed6a6c6604e	이건 또 격투 예감...		이것은 또다시 격투의 예감…	戚依精　暁陥獣　維燈税　森姶…		30	[]	imported	
STG0242-21화후B분기/ID00003/000012	stage	STG0242-21화후B분기	ID00003	12	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	5db05fc5ef57fd86a385b9003cb7d880780731eaba5466abd13baab3776e3769	아니나 다를까 Z칩 획득의 기대가 높아집니다!		더욱이 Z칩 획득의 기대가 높아집니다！	希錐戚　Ｚ懲　塙究税　奄企亜　株焼増艦陥！		42	[]	imported	
STG0242-21화후B분기/ID00003/000013	stage	STG0242-21화후B분기	ID00003	13	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0242-21화후B분기/ID00003/000014	stage	STG0242-21화후B분기	ID00003	14	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	98d514cffc6f0c7e1f5b24d1f1bc24ffea657b8d04354708796584e0435673cd	그런 까닭에 기합을 넣읍시다!		그런 이유로 기합을 넣읍시다！	益訓　戚政稽　奄杯聖　隔西獣陥！		32	[]	imported	
STG0242-21화후B분기/ID00003/000015	stage	STG0242-21화후B분기	ID00003	15	01_스테이지 xlsx 모음/STG0242(21화후B분기)-ID00003-script-통합.xlsx	952afc4ff9cff36f1326d2ba1f038924ab7c82f0c9ad1cfdf4d3464ac5e7b513	06a64aa4b35d8234e8e14ed09c5824e1b21226dd824e493f893f4293243954be	오늘도 파이팅... 장사, 장사!		오늘도 힘내서…장사,장사！	神潅亀　毘鎧辞…舌紫，舌紫！		28	[]	imported	
