entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0031a/ID00003/000004	stage	STG0031a	ID00003	4	01_스테이지 xlsx 모음/STG0031a(19화)-ID00003-script-통합.xlsx	abe31fe834d47430f228cc53a5f0c4d277b4d5c54f6fb4f9860314b4fc0b0fe5	dfd6a59dc64cad13901ed3f385dce37ce2f7442587438410c12fb936500ecce1	~드래곤즈 하이브 격납고~		　　　　　　　～드래곤즈하이브 격납고～	　　　　　　　～球掘逸綜馬戚崎　維崖壱～		40	[]	imported	
STG0031a/ID00003/000005	stage	STG0031a	ID00003	5	01_스테이지 xlsx 모음/STG0031a(19화)-ID00003-script-통합.xlsx	abe31fe834d47430f228cc53a5f0c4d277b4d5c54f6fb4f9860314b4fc0b0fe5	39df5d55bcea256e3bfc54caab3e090088ec4d1ce06e842c18c5a88ece8981ed	아카기		아카기	焼朝奄		6	[]	imported	
STG0031a/ID00003/000006	stage	STG0031a	ID00003	6	01_스테이지 xlsx 모음/STG0031a(19화)-ID00003-script-통합.xlsx	abe31fe834d47430f228cc53a5f0c4d277b4d5c54f6fb4f9860314b4fc0b0fe5	dc7d02de525985651dda2b858c621423cced1ca933713f2b68983635d44bab8b	…$n,		…$n、	…$ｎ，		8	"[""$n""]"	imported	
STG0031a/ID00003/000007	stage	STG0031a	ID00003	7	01_스테이지 xlsx 모음/STG0031a(19화)-ID00003-script-통합.xlsx	abe31fe834d47430f228cc53a5f0c4d277b4d5c54f6fb4f9860314b4fc0b0fe5	1b7d72ab11f3f70a354ed77bf5f6632ade603ab824fab0f0c178e1b605ed5861	신지와 레이를 못 봤어?		신지와 레이를 못 봤어?	重走人　傾戚研　公　挫嬢？		26	[]	imported	
STG0031a/ID00003/000008	stage	STG0031a	ID00003	8	01_스테이지 xlsx 모음/STG0031a(19화)-ID00003-script-통합.xlsx	abe31fe834d47430f228cc53a5f0c4d277b4d5c54f6fb4f9860314b4fc0b0fe5	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0031a/ID00003/000009	stage	STG0031a	ID00003	9	01_스테이지 xlsx 모음/STG0031a(19화)-ID00003-script-통합.xlsx	abe31fe834d47430f228cc53a5f0c4d277b4d5c54f6fb4f9860314b4fc0b0fe5	5c25d0cef08fb49b605105016ce49b0cf2002dca381f007eda36a42ea67eedaa	저 두사람이라면 미사토씨와 함께		그 두 사람이라면 미사토 씨와 함께	益　砧　紫寓戚虞檎　耕紫塘　松人　敗臆		38	[]	imported	
STG0031a/ID00003/000010	stage	STG0031a	ID00003	10	01_스테이지 xlsx 모음/STG0031a(19화)-ID00003-script-통합.xlsx	abe31fe834d47430f228cc53a5f0c4d277b4d5c54f6fb4f9860314b4fc0b0fe5	63319b00aa7b115a0f621cac9bea4802a038b129d851eeca4d1b5942ce5edd78	NERV로 향했어요		NERV로 갔습니다	ＮＥＲＶ稽　穐柔艦陥		20	[]	imported	
STG0031a/ID00003/000011	stage	STG0031a	ID00003	11	01_스테이지 xlsx 모음/STG0031a(19화)-ID00003-script-통합.xlsx	abe31fe834d47430f228cc53a5f0c4d277b4d5c54f6fb4f9860314b4fc0b0fe5	39df5d55bcea256e3bfc54caab3e090088ec4d1ce06e842c18c5a88ece8981ed	아카기		아카기	焼朝奄		6	[]	imported	
STG0031a/ID00003/000012	stage	STG0031a	ID00003	12	01_스테이지 xlsx 모음/STG0031a(19화)-ID00003-script-통합.xlsx	abe31fe834d47430f228cc53a5f0c4d277b4d5c54f6fb4f9860314b4fc0b0fe5	4e84c6d28b5039ac904d7e944543b1156181bc1ea41452e3872bd18bdc8a7871	뭐 때문에?		무엇 때문에?	巷譲　凶庚拭？		14	[]	imported	
STG0031a/ID00003/000013	stage	STG0031a	ID00003	13	01_스테이지 xlsx 모음/STG0031a(19화)-ID00003-script-통합.xlsx	abe31fe834d47430f228cc53a5f0c4d277b4d5c54f6fb4f9860314b4fc0b0fe5	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
