entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0094/ID00003/000004	stage	STG0094	ID00003	4	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	3fdec48383c7133f64da396ba110e97dc1b7c1aeb2436bfbb22304eee4557138	~미스릴 서태평양전대 고관용 집무실~		　　　　～미스릴 서태평양 전대 고관용 집무실～	　　　　～耕什険　辞殿汝丞　穿企　壱淫遂　増巷叔～		50	[]	imported	
STG0094/ID00003/000005	stage	STG0094	ID00003	5	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0094/ID00003/000006	stage	STG0094	ID00003	6	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	cf64a6d235b07748cd026adeadeb631933dbea87d704ed4e564749801fc79fff	…결국 특이점을 찾지 못한 채,		…결국,특이점을 찾지 못한 채	…衣厩，働戚繊聖　達走　公廃　辰		32	[]	imported	
STG0094/ID00003/000007	stage	STG0094	ID00003	7	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	8d2afd7946bee8d2ff1176732ef75aac197f7719f1f5a41205bb769e5814e649	11월을 맞이하려고 하는군요...		11월을 맞이하게 되는 거네…	１１杉聖　限戚馬惟　鞠澗　暗革…		32	[]	imported	
STG0094/ID00003/000008	stage	STG0094	ID00003	8	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0094/ID00003/000009	stage	STG0094	ID00003	9	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	08cd891b9be4b696b15fbf79d98723741f49a939f1609ccede0fb835bf60a4d8	미스릴과 프리벤터 수색에서도		미스릴과 프리벤터의 수색으로도	耕什険引　覗軒坤斗税　呪事生稽亀		32	[]	imported	
STG0094/ID00003/000010	stage	STG0094	ID00003	10	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	d1994cf9f95592b3a78054d009efc22dc6fac6d212076a41cd75cf44f717f91f	단서다운 단서는 발견되지 않았습니다		단서다운 단서는 찾지 못했습니다	舘辞陥錘　舘辞澗　達走　公梅柔艦陥		34	[]	imported	
STG0094/ID00003/000011	stage	STG0094	ID00003	11	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0094/ID00003/000012	stage	STG0094	ID00003	12	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	89af1bfb4d2cb1c085bb4a158f339d1c921f061a78d739d55bfee3fd5991a29a	시공 진동을 일으키는 수단으로서		시공 진동을 일으키는 수단으로	獣因　遭疑聖　析生徹澗　呪舘生稽		32	[]	imported	
STG0094/ID00003/000013	stage	STG0094	ID00003	13	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	4defef2b51d84ed031369b46c4ffaebdbe008812e886612173a5b535ad5c2db1	셰릴 놈, 랭커리 노래의 이용에 대해서는		셰릴 놈,란카 리의 노래 이용에 대해서는	捨険　叶，空朝　軒税　葛掘　戚遂拭　企背辞澗		44	[]	imported	
STG0094/ID00003/000014	stage	STG0094	ID00003	14	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	90d26a79d6e7f1f1d5484494296a9ca322e1eb59971a8f0d9af9c1fc6f5cd154	트라이아 박사님께 맡기고 있습니다만…		트라이아 박사님께 맡기고 있습니다만…	闘虞戚焼　酵紫還臆　乎奄壱　赤柔艦陥幻…		40	[]	imported	
STG0094/ID00003/000015	stage	STG0094	ID00003	15	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0094/ID00003/000016	stage	STG0094	ID00003	16	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	3410998621de03170cc8e4059a0785155873f07742f65ec1d208a90911259c92	비록 그녀들에 의해서		설령,그녀들에 의해	竺敬，益橿級拭　税背		20	[]	imported	
STG0094/ID00003/000017	stage	STG0094	ID00003	17	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	c9af135794bc4106aeee86b6196aebea4b7a7020960c373407852a223b98369b	일시적으로 차원 경계선을 흔들 수 있어도		일시적으로 차원 경계선을 뒤흔드는 것이 가능해도	析獣旋生稽　託据　井域識聖　及泌球澗　依戚　亜管背亀		52	[]	imported	
STG0094/ID00003/000018	stage	STG0094	ID00003	18	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	2a43271ca793b1198335e66999b302fdada8827890e5daa9707ac4a40aa488cf	특이점 없이는 시공간 복원이 불가능할 것입니다		특이점 없이는 시공 복구는 불가능할 겁니다	働戚繊　蒸戚澗　獣因　差姥澗　災亜管拝　位艦陥		46	[]	imported	
STG0094/ID00003/000019	stage	STG0094	ID00003	19	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	c0607eeb100baf498bcf09f06ea043ca051f5c7785ea19fb98ce7a12ef4e8e2e	스멜라기		스메라기	什五虞奄		8	[]	imported	
STG0094/ID00003/000020	stage	STG0094	ID00003	20	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	aa480e7f5fe2e64833216ca580f885f657ccb891a170fa5eba1208af7115dda1	어드벤트로부터의 연락은?		어드벤트로부터의 연락은?	嬢球坤闘稽採斗税　尻喰精？		26	[]	imported	
STG0094/ID00003/000021	stage	STG0094	ID00003	21	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	2bda9774c55bd02a144707101b2dc5f5d1ac15c689a5274eeefc2693c2c5918b	그들도 독자적으로 움직이고 있는 것 같은데…		그들도 독자적으로 움직이고 있는 것 같은데…	益級亀　偽切旋生稽　崇送戚壱　赤澗　依　旭精汽…		48	[]	imported	
STG0094/ID00003/000022	stage	STG0094	ID00003	22	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0094/ID00003/000023	stage	STG0094	ID00003	23	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	ab3aa823adadaebfcfd9cc84b2afc975eb2c8264182b4ba29ac957d437e69c12	정기적인 보고는 있습니다만, 성과는…		정기적인 보고는 있습니다만,성과 쪽은…	舛奄旋昔　左壱澗　赤柔艦陥幻，失引　楕精…		42	[]	imported	
STG0094/ID00003/000024	stage	STG0094	ID00003	24	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	5669cc977af82c0ee7dde2833e63534732b88cad1ddfb83da5227744cf2df97d	제프리		제프리	薦覗軒		6	[]	imported	
STG0094/ID00003/000025	stage	STG0094	ID00003	25	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	bbc04de71c05e9f7b37b203dd5efdc5684f760097523c5576207f6256eab7276	시공수복의 열쇠를 쥔 특이점.		시공 복구의 열쇠를 쥐고 있는 특이점…	獣因　差姥税　伸取研　巣壱　赤澗　働戚繊…		42	[]	imported	
STG0094/ID00003/000026	stage	STG0094	ID00003	26	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	8de4bc6ce5d6b1fb1d37f071fdb61eb5e4dcd2b6c0345bafa144d97f59326ae1	$n이 개드라이트로부터 얻은 정보만으로는		$n이 가드라이트에게서 얻은 정보만으로는	$ｎ戚　亜球虞戚闘拭惟辞　条精　舛左幻生稽澗		44	"[""$n""]"	imported	
STG0094/ID00003/000027	stage	STG0094	ID00003	27	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	eb59b5330a8346978affe556d9b817d837431c85d36615c1d578e749ac5d4060	움직일 수가 없군		움직일 방도가 없군	崇送析　号亀亜　蒸浦		20	[]	imported	
STG0094/ID00003/000028	stage	STG0094	ID00003	28	01_스테이지 xlsx 모음/STG0094(55화)-ID00003-script-통합.xlsx	3f10705e36045b2df5190f172d691326fbd2b22714f25d19acf20046983d97e9	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
