entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0057/ID00003/000004	stage	STG0057	ID00003	4	01_스테이지 xlsx 모음/STG0057(39화A)-ID00003-script-통합.xlsx	bf21cd53e19d460969e951dfcec1f4ff7c5d26da68e4181746762d2de0314953	560ad17a304bbc4e6d837326a81461c762daf41dc8569a0562219e02a28371dc	~아르테아군 사령실~		　　　　　　　　～알테어군 사령실～	　　　　　　　　～硝砺嬢浦　紫敬叔～		36	[]	imported	
STG0057/ID00003/000005	stage	STG0057	ID00003	5	01_스테이지 xlsx 모음/STG0057(39화A)-ID00003-script-통합.xlsx	bf21cd53e19d460969e951dfcec1f4ff7c5d26da68e4181746762d2de0314953	4eec9ae1ef6a4f81188fd76bbed826efbd4b3b3b9053d8aa10621f1e53991d8b	아르테아병		알테어병	硝砺嬢佐		8	[]	imported	
STG0057/ID00003/000006	stage	STG0057	ID00003	6	01_스테이지 xlsx 모음/STG0057(39화A)-ID00003-script-통합.xlsx	bf21cd53e19d460969e951dfcec1f4ff7c5d26da68e4181746762d2de0314953	3392cbde6790b5a59003ac5ca889eee8a6ddce26837e5ba6890ddf957399e64b	아이언씨 가동률 40%선이 안됐다		아이언 시의 가동률,40%를 밑돌았습니다	焼戚情　獣税　亜疑懸，４０％研　購宜紹柔艦陥		44	[]	imported	
STG0057/ID00003/000007	stage	STG0057	ID00003	7	01_스테이지 xlsx 모음/STG0057(39화A)-ID00003-script-통합.xlsx	bf21cd53e19d460969e951dfcec1f4ff7c5d26da68e4181746762d2de0314953	5ceddd1c7aadc8c84169ffca566db8f7fcf5c3174171e0852d79e574d98d7922	이즈모		이즈모	戚綜乞		6	[]	imported	
STG0057/ID00003/000008	stage	STG0057	ID00003	8	01_스테이지 xlsx 모음/STG0057(39화A)-ID00003-script-통합.xlsx	bf21cd53e19d460969e951dfcec1f4ff7c5d26da68e4181746762d2de0314953	596ab4e4948d6de5cec17d54f09386b8c683c43205be66fa9af74222f8f42db9	예상보다 빨랐네...		예상보다 빨랐군…	森雌左陥　察串浦…		18	[]	imported	
STG0057/ID00003/000009	stage	STG0057	ID00003	9	01_스테이지 xlsx 모음/STG0057(39화A)-ID00003-script-통합.xlsx	bf21cd53e19d460969e951dfcec1f4ff7c5d26da68e4181746762d2de0314953	4eec9ae1ef6a4f81188fd76bbed826efbd4b3b3b9053d8aa10621f1e53991d8b	아르테아병		알테어병	硝砺嬢佐		8	[]	imported	
STG0057/ID00003/000010	stage	STG0057	ID00003	10	01_스테이지 xlsx 모음/STG0057(39화A)-ID00003-script-통합.xlsx	bf21cd53e19d460969e951dfcec1f4ff7c5d26da68e4181746762d2de0314953	5c6d1234f7079d71b88e4452562148cb165545f3ea90e2026a5a56d249f64b06	무엇보다 차원 전이에 필요한 에너지 소비는		무엇보다 차원 전이에 필요한 에너지 소비는	巷譲左陥　託据　穿戚拭　琶推廃　拭格走　社搾澗		46	[]	imported	
STG0057/ID00003/000011	stage	STG0057	ID00003	11	01_스테이지 xlsx 모음/STG0057(39화A)-ID00003-script-통합.xlsx	bf21cd53e19d460969e951dfcec1f4ff7c5d26da68e4181746762d2de0314953	da3eed4c7533bb5476e4c8669d8818ed47dcb7da283acf3f5e91b6a57f3871ae	월등한 차이입니다		자릿수가 다릅니다	切鹸呪亜　陥絹艦陥		18	[]	imported	
STG0057/ID00003/000012	stage	STG0057	ID00003	12	01_스테이지 xlsx 모음/STG0057(39화A)-ID00003-script-통합.xlsx	bf21cd53e19d460969e951dfcec1f4ff7c5d26da68e4181746762d2de0314953	4eec9ae1ef6a4f81188fd76bbed826efbd4b3b3b9053d8aa10621f1e53991d8b	아르테아병		알테어병	硝砺嬢佐		8	[]	imported	
STG0057/ID00003/000013	stage	STG0057	ID00003	13	01_스테이지 xlsx 모음/STG0057(39화A)-ID00003-script-통합.xlsx	bf21cd53e19d460969e951dfcec1f4ff7c5d26da68e4181746762d2de0314953	547a8b4d738532758114a47d2d6e56f0110169818995633a80858bac63554ea5	게다가 베가의 차원 경계선은 날이 갈수록		게다가 베가의 차원 경계선은 날이 갈수록	惟陥亜　今亜税　託据　井域識精　劾戚　哀呪系		44	[]	imported	
