entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0318/ID00003/000004	dlc	DLC0318	ID00003	4	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	f4e0484154ad505830f83d190f855dcfc8266c6058a06819f4b93a54c628f4de	~지구연방군 극동지부 기지내 살롱~		　　～지구연방군 극동지부 기지 내 살롱～	　　～走姥尻号浦　駅疑走採　奄走　鎧　詞荊～		44	[]	imported	
DLC0318/ID00003/000005	dlc	DLC0318	ID00003	5	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
DLC0318/ID00003/000006	dlc	DLC0318	ID00003	6	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	e506a5448203da10c846fa8ec4c3be5ab78d837a3ccef4f7c6e9f5b2b61dbe2a	저기...		저 말이지…	煽　源戚走…		12	[]	imported	
DLC0318/ID00003/000007	dlc	DLC0318	ID00003	7	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	77ecd82a49bb1af43ee55410c3504d77a6e47e801b68ed6e271c630d4a192de1	아오이		아오이	焼神戚		6	[]	imported	
DLC0318/ID00003/000008	dlc	DLC0318	ID00003	8	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	b8f1797688ed458f1a7ae4fd22cfcf232aa926a07a011f679c3afc549dd389ac	뭐야?		왜?	訊？		4	[]	imported	
DLC0318/ID00003/000009	dlc	DLC0318	ID00003	9	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
DLC0318/ID00003/000010	dlc	DLC0318	ID00003	10	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	36310640178781724e5ed08b4f84f8ffcd2e744105616198ccabe8ceb11ce459	미스 $c가 있다면,		미스 $c가 있다면	耕什　$ｃ亜　赤陥檎		20	"[""$c""]"	imported	
DLC0318/ID00003/000011	dlc	DLC0318	ID00003	11	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	1bf574a23a49f4ec69204b9830173be82772ad4c22efef40e8e8a31086281a5c	미스터 $c가 있어도 되지 않을까?		미스터 $c가 있어도 되지 않을까?	耕什斗　$ｃ亜　赤嬢亀　鞠走　省聖猿？		38	"[""$c""]"	imported	
DLC0318/ID00003/000012	dlc	DLC0318	ID00003	12	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	77ecd82a49bb1af43ee55410c3504d77a6e47e801b68ed6e271c630d4a192de1	아오이		아오이	焼神戚		6	[]	imported	
DLC0318/ID00003/000013	dlc	DLC0318	ID00003	13	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	54363bf3832fec0ddf56f9d14ebf572252a34e6665c1a4d03d82495696d3f792	좋다, 그거		좋네,그거	疏革，益暗		10	[]	imported	
DLC0318/ID00003/000014	dlc	DLC0318	ID00003	14	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	5bad22c2de75a7a465d07ce75b5c09368360076b4e90f1a49751b8d3970eb0d1	체인		첸	綻		2	[]	imported	
DLC0318/ID00003/000015	dlc	DLC0318	ID00003	15	!DLC/DLC0318_cpk/DLC0318(DLC-18)-ID00003-script-통합.xlsx	a54de3bc21d5229d78d4640053f66bca2fcd843a88ec7317e244c41b96aa417d	39029946a5a65cdc3ae3cfa3c23dbd0c794d3c880ea98474779ade23f99eb526	근데 그거 아무로 대위가 정해져 있는 거 아니야?		하지만,그건 아무로 대위로 정해진 거 아냐?	馬走幻，益闇　焼巷稽　企是稽　舛背遭　暗　焼劃？		48	[]	imported	
