entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0086/ID00003/000002	stage	STG0086	ID00003	2	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	4dca59d06c57f6ab986a99b0f5aae02dd85f63429f3c7e292c5f44c575a76ee3	제시카		제시카	薦獣朝		6	[]	imported	
STG0086/ID00003/000003	stage	STG0086	ID00003	3	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	b609027473da2723c2b6ced7005ec71419d042f914a2796e9f9bb240d0ce7753	뭐야, 뭐야, 여기...		뭐,뭐야,여기는…	更，更醤，食奄澗…		18	[]	imported	
STG0086/ID00003/000004	stage	STG0086	ID00003	4	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	4dca59d06c57f6ab986a99b0f5aae02dd85f63429f3c7e292c5f44c575a76ee3	제시카		제시카	薦獣朝		6	[]	imported	
STG0086/ID00003/000005	stage	STG0086	ID00003	5	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	7929108dcfc22139e25af8a75adcbbfea2bbdf1caa65b482aa492e42e7453ec8	나... 알테아로 내려갔다가 그다음에...		나… 알테어에 내려서,그 후에…	蟹…　硝砺嬢拭　鎧形辞，益　板拭…		34	[]	imported	
STG0086/ID00003/000006	stage	STG0086	ID00003	6	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	4dca59d06c57f6ab986a99b0f5aae02dd85f63429f3c7e292c5f44c575a76ee3	제시카		제시카	薦獣朝		6	[]	imported	
STG0086/ID00003/000007	stage	STG0086	ID00003	7	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	771d168d81b5ac712e81f407b79595cf3b7f8acf6d9046b56adf17fa76656c3e	안 돼...!		안 돼…！	照　掬…！		10	[]	imported	
STG0086/ID00003/000008	stage	STG0086	ID00003	8	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	46a774e3f1e158042b3d83af3effa9d86ba83948dfc0e3374668d9d1ce95c746	그 뒤가 생각나지 않아!		그 후가 생각나지 않아！	益　板亜　持唖蟹走　省焼！		26	[]	imported	
STG0086/ID00003/000009	stage	STG0086	ID00003	9	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0086/ID00003/000010	stage	STG0086	ID00003	10	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	597bc41ff532ccc548e359334a8c0eca3719bacd007d8652c5f7c81a720b8ded	아무 걱정도 필요없어요		아무 걱정도 하지 않아도 돼요	焼巷　案舛亀　馬走　省焼亀　掬推		32	[]	imported	
STG0086/ID00003/000011	stage	STG0086	ID00003	11	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	4dca59d06c57f6ab986a99b0f5aae02dd85f63429f3c7e292c5f44c575a76ee3	제시카		제시카	薦獣朝		6	[]	imported	
STG0086/ID00003/000012	stage	STG0086	ID00003	12	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	a0e374607c7c13c5533b062c690e8a5ecffcad253caa938cea3363a47d10652a	미카게!		미카게！	耕朝惟！		8	[]	imported	
STG0086/ID00003/000013	stage	STG0086	ID00003	13	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0086/ID00003/000014	stage	STG0086	ID00003	14	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	e2cbabc085fe49d63695c0027514fd9eb907dc7e324f9c74a91674d303ebd2ec	여기는 내 마음속...		여기는 내 마음속…	食奄澗　鎧　原製紗…		20	[]	imported	
STG0086/ID00003/000015	stage	STG0086	ID00003	15	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	399a177396af91841c1c8fd0c1e09ad9b9aa9e032c77151340476ff53c466098	그래... 너는 나에게 매료된 것입니다		그래… 넌 나에게 매료된 거예요	益掘…　獲　蟹拭惟　古戟吉　暗森推		34	[]	imported	
STG0086/ID00003/000016	stage	STG0086	ID00003	16	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	4dca59d06c57f6ab986a99b0f5aae02dd85f63429f3c7e292c5f44c575a76ee3	제시카		제시카	薦獣朝		6	[]	imported	
STG0086/ID00003/000017	stage	STG0086	ID00003	17	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	1cc858e85f821cd2528c99f25e0f230a44bd47dbd6b3f09752abc88589b51a22	아...		아…	焼…		4	[]	imported	
STG0086/ID00003/000018	stage	STG0086	ID00003	18	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0086/ID00003/000019	stage	STG0086	ID00003	19	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	86a85fdfd07ba51c442bbdda6a1ab1862b29c103428fc05f30afb5d6ef1b45b0	기다리고 있었어요, 이때를...		기다리고 있었어요,이 순간을…	奄陥軒壱　赤醸嬢推，戚　授娃聖…		32	[]	imported	
STG0086/ID00003/000020	stage	STG0086	ID00003	20	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	4dca59d06c57f6ab986a99b0f5aae02dd85f63429f3c7e292c5f44c575a76ee3	제시카		제시카	薦獣朝		6	[]	imported	
STG0086/ID00003/000021	stage	STG0086	ID00003	21	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	c9967fe55c56f4f36ccfde85aad72dc48df2fa9733b752a67b76856d51c3672e	이, 아니... 오지 마!		아,안 돼… 오지 마！	焼，照　掬…　神走　原！		24	[]	imported	
STG0086/ID00003/000022	stage	STG0086	ID00003	22	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0086/ID00003/000023	stage	STG0086	ID00003	23	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	b8bed9b758247add575a2d249f7c23cda89229383a837e0183540cdfbcf09511	그래... 착하다...		그래… 착하네…	益掘…　鐸馬革…		16	[]	imported	
STG0086/ID00003/000024	stage	STG0086	ID00003	24	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0086/ID00003/000025	stage	STG0086	ID00003	25	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	14951ab2cec791143685a7b81f393b20783feda070caba6841ac92c3ab94baa9	아아…. 살아있는 몸의 얼마나 멋진 일인가…!		아아… 생생한 육체는 얼마나 멋진 건가…！	焼焼…　持持廃　整端澗　杖原蟹　鈷遭　闇亜…！		46	[]	imported	
STG0086/ID00003/000026	stage	STG0086	ID00003	26	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	4dca59d06c57f6ab986a99b0f5aae02dd85f63429f3c7e292c5f44c575a76ee3	제시카		제시카	薦獣朝		6	[]	imported	
STG0086/ID00003/000027	stage	STG0086	ID00003	27	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	7a2d9f134124dac39751400292e034cd7f4389f229bdf8d69d62a68940a7be2b	(아니야...! 내 목소리가 아니야!		（아니야…！ 내 목소리가 아니야！	（焼艦醤…！　鎧　鯉社軒亜　焼艦醤！		36	[]	imported	
STG0086/ID00003/000028	stage	STG0086	ID00003	28	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	5f4257b3182d445e688fd9c644c236bf1527011122922851700f86aab0cce94f	설마, 나의 몸을...!)		설마,내 몸을…！）	竺原，鎧　倖聖…！）		20	[]	imported	
STG0086/ID00003/000029	stage	STG0086	ID00003	29	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0086/ID00003/000030	stage	STG0086	ID00003	30	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	197464e5efbf5347141e0c56b6c23a13c9f20f287f5253d45b9dc01bb162294f	너는 훌륭한 육체의 그릇….		넌 멋진 육체의 그릇…	獲　鈷遭　整端税　益県…		24	[]	imported	
STG0086/ID00003/000031	stage	STG0086	ID00003	31	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	190275217e5e5195d9fd1ad953471a7d2f66f2c5eca6de8b24cd92639b30914c	이것으로 겨우 긴 꿈을 이룰 수 있다...!		이걸로 드디어 오랜 꿈을 이룰 수 있어…！	戚杏稽　球巨嬢　神沓　嘩聖　戚穴　呪　赤嬢…！		46	[]	imported	
STG0086/ID00003/000032	stage	STG0086	ID00003	32	01_스테이지 xlsx 모음/STG0086(52화A)-ID00003-script-통합.xlsx	88974801e331f309909e2bce6a109b9241da579e0acb6335909711f77fad3454	4dca59d06c57f6ab986a99b0f5aae02dd85f63429f3c7e292c5f44c575a76ee3	제시카		제시카	薦獣朝		6	[]	imported	
