entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0062/ID00003/000004	stage	STG0062	ID00003	4	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	3d23853b9ef0a5eddff0c0244fbee9f4b5f2d5ae09ec34cb0ffbb8bc0309c02d	~드래곤즈 하이브 사령실~		　　　　　　～드래곤즈 하이브 사령실～	　　　　　　～球掘逸綜　馬戚崎　紫敬叔～		40	[]	imported	
STG0062/ID00003/000005	stage	STG0062	ID00003	5	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	4e8329f64c8c5e2ea25f912c5631a78b48d940dc630bf3c144dd86a90a31579c	오쓰카		오오츠카	神神苧朝		8	[]	imported	
STG0062/ID00003/000006	stage	STG0062	ID00003	6	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	c525d67c125ce88562e5874a9f1a646d0bc1985e423852e514cf020c748a8576	그럼 윌...		그럼,WILL…	益軍，ＷＩＬＬ…		16	[]	imported	
STG0062/ID00003/000007	stage	STG0062	ID00003	7	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	0f5f5b383ec590a4ea5922034bf5d45e6e4b145dad395c3bf9d20d0f9737d97c	너도 1만2000년의 고리라는 말에		자네도 1만 2천 년의 고리라는 말에	切革亀　１幻　２探　鰍税　壱軒虞澗　源拭		40	[]	imported	
STG0062/ID00003/000008	stage	STG0062	ID00003	8	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	fcfc3aac288fff9581bbcb49cd7bf7f27785879378880c91a682d4349c8dd46a	기억은 없나?		기억이 없는 건가?	奄常戚　蒸澗　闇亜？		20	[]	imported	
STG0062/ID00003/000009	stage	STG0062	ID00003	9	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	3e79cb6c5d594b9b5cb7e4cea844e5c850cef10b166ec5523f6ec5d6045473d5	ＷＩＬＬ		WILL	ＷＩＬＬ		8	[]	imported	
STG0062/ID00003/000010	stage	STG0062	ID00003	10	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	4ac93b0007725e2de11acaee25a2819984fecd7035d0ae9a44779efe88182f69	어디서 들어본 적은 있어...		어디선가 들은 적은 있는…	嬢巨識亜　級精　旋精　赤澗…		28	[]	imported	
STG0062/ID00003/000011	stage	STG0062	ID00003	11	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	be7c56f587182b9d2b14b513c012b95133d13c4bd98355cbfb2db583f0835452	하지만, 기억이 나지 않는 것이다		하지만,생각나지 않는다	馬走幻，持唖蟹走　省澗陥		24	[]	imported	
STG0062/ID00003/000012	stage	STG0062	ID00003	12	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	3342c556312cab6facf4f68b77ff6208ff45e5bee9e87340c70645ef7121d980	세이미		세이미	室戚耕		6	[]	imported	
STG0062/ID00003/000013	stage	STG0062	ID00003	13	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	d83107cc0162c504d03e7c8adbeb8ca0672a6796f055607f5027c1a4a4c70905	역시, 제미니스(ジェミニのス記憶)의 기억 조작의 영향?		역시,제미니스의 기억 조작의 영향?	蝕獣，薦耕艦什税　奄常　繕拙税　慎狽？		38	[]	imported	
STG0062/ID00003/000014	stage	STG0062	ID00003	14	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	9e2148725a0064aefe67758f668fde6ff53e77c3dd2c0d2cb7eee4b05f3d5f92	타나카 사령		다나카 사령관	陥蟹朝　紫敬淫		14	[]	imported	
STG0062/ID00003/000015	stage	STG0062	ID00003	15	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	92550d45aff3eeb6d90d8853151ca5329a42db02fbd170aa417c1476e53d7c9e	무기지성체 윌 씨의 기억까지 조작하다니.		무기 지성체인 WILL 씨의 기억까지 조작하다니	巷奄　走失端昔　ＷＩＬＬ　松税　奄常猿走　繕拙馬陥艦		52	[]	imported	
STG0062/ID00003/000016	stage	STG0062	ID00003	16	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	abb6a67970b27d1ceabb892b64bc31aceedaa1a961d4aacfdd3bede730fd8de8	거참, 제미니스의 힘... 그야말로 가공할 일이네요		이런,제미니스의 힘… 정말 무시무시하군요	戚訓，薦耕艦什税　毘…　舛源　巷獣巷獣馬浦推		44	[]	imported	
STG0062/ID00003/000017	stage	STG0062	ID00003	17	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	1e7975082b673fe29544c5368bc8a0cb941c54d1f8ce06d83411c3c088633c59	Ｆ．Ｓ．.		F.S.	Ｆ．Ｓ．		8	[]	imported	
STG0062/ID00003/000018	stage	STG0062	ID00003	18	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	3950e9bd3b32d417b8137829d35f40d9e59655fbffcd3ff72ad47d92a372134d	이터니티 플랫과 바알의 위협이 닥친 가운데,		이터니티・플랫과 바알의 위협이 다가오는 가운데	戚斗艦銅・巴熊引　郊硝税　是漠戚　陥亜神澗　亜錘汽		50	[]	imported	
STG0062/ID00003/000019	stage	STG0062	ID00003	19	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	cb07280c023d0c2993da47b991a88a34aa51487555f5def778b04df808b3155a	고든 로즈워터(ゴード·ローズ·ウォーターからのされた)에서 온 수수께끼의 말…...		고든・로즈워터로부터 전해진 수수께끼의 말…	壱窮・稽綜趨斗稽採斗　穿背遭　呪呪臆晦税　源…		46	[]	imported	
STG0062/ID00003/000020	stage	STG0062	ID00003	20	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	1e7975082b673fe29544c5368bc8a0cb941c54d1f8ce06d83411c3c088633c59	Ｆ．Ｓ．.		F.S.	Ｆ．Ｓ．		8	[]	imported	
STG0062/ID00003/000021	stage	STG0062	ID00003	21	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	3409b8b69ac4e8680363d286a39facf88039bbba9d5d409a27e6e7341ba008a9	구라나 어드벤트가 알고 있는 것으로부터도,		그라나 어드벤트가 알고 있는 것으로 보아	益虞蟹　嬢球坤闘亜　硝壱　赤澗　依生稽　左焼		44	[]	imported	
STG0062/ID00003/000022	stage	STG0062	ID00003	22	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	eccf6d784d248332bc4f27a85f4309d94cec33f08443acf707a2326382947e1f	앞으로 큰 의미를 가질 것으로 보이는		앞으로,큰 의미를 가질 것으로 생각된다	蒋生稽，笛　税耕研　亜霜　依生稽　持唖吉陥		42	[]	imported	
STG0062/ID00003/000023	stage	STG0062	ID00003	23	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	4e8329f64c8c5e2ea25f912c5631a78b48d940dc630bf3c144dd86a90a31579c	오쓰카		오오츠카	神神苧朝		8	[]	imported	
STG0062/ID00003/000024	stage	STG0062	ID00003	24	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	c02f3df6927c9844830fcd131295f7223d4a9aa015de7fdefc6f0a68f30d75c6	제발 윌...!		부탁한다,WILL…！	採店廃陥，ＷＩＬＬ…！		22	[]	imported	
STG0062/ID00003/000025	stage	STG0062	ID00003	25	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	8d237cf1f0e2a45b7d8f9b8367fb045081be65260fd8356f9990ee0d25f1dac3	어떻게든 그 말의 의미를 기억해줘!		어떻게든,그 말의 의미를 떠올려 줘!	嬢胸惟窮，益　源税　税耕研　彊臣形　操！		40	[]	imported	
STG0062/ID00003/000026	stage	STG0062	ID00003	26	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	3e79cb6c5d594b9b5cb7e4cea844e5c850cef10b166ec5523f6ec5d6045473d5	ＷＩＬＬ		WILL	ＷＩＬＬ		8	[]	imported	
STG0062/ID00003/000027	stage	STG0062	ID00003	27	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	31b5af566567387f80848d145bdad57f10c83b0bda7b09e6b950345201e29283	나도 일의 중대함은 이해하고 있다		나도 사태의 중대함은 이해하고 있다	蟹亀　紫殿税　掻企敗精　戚背馬壱　赤陥		38	[]	imported	
STG0062/ID00003/000028	stage	STG0062	ID00003	28	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	3342c556312cab6facf4f68b77ff6208ff45e5bee9e87340c70645ef7121d980	세이미		세이미	室戚耕		6	[]	imported	
STG0062/ID00003/000029	stage	STG0062	ID00003	29	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	b4973a9a9b146881a321d7321410811e109724bb06add015aea4eaac31592072	있잖아, WILL도 차원의 벽을 넘어서,		저기,WILL도 차원의 벽을 넘어	煽奄，ＷＩＬＬ亀　託据税　混聖　角嬢		36	[]	imported	
STG0062/ID00003/000030	stage	STG0062	ID00003	30	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	47d5c99f6de980173af7343650410870f95717e87f1a018654082e8c6b568ead	이 세상에 온 거지.		이 세계에 왔잖아. 그렇다면,	戚　室域拭　尽摂焼．　益係陥檎，		32	[]	imported	
STG0062/ID00003/000031	stage	STG0062	ID00003	31	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	cfc9425f6235804a08a554d1f2aa5ed1c10e1347abde9fca35783456150738d7	그렇다면 시간의 감옥을 깰 수는 없는 거야?		시간의 감옥을 부수는 것은 할 수 없어?	獣娃税　姶秦聖　採呪澗　依精　拝　呪　蒸嬢？		44	[]	imported	
STG0062/ID00003/000032	stage	STG0062	ID00003	32	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	3e79cb6c5d594b9b5cb7e4cea844e5c850cef10b166ec5523f6ec5d6045473d5	ＷＩＬＬ		WILL	ＷＩＬＬ		8	[]	imported	
STG0062/ID00003/000033	stage	STG0062	ID00003	33	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	69d6019e0ac8f73b82f93143030fe8f8bb3709df95b00b8ae65a51398e62edc1	안타깝게도 불가능하다.		안타깝지만,불가능하다.현재 차원 경계선은	照展鴛走幻，災亜管馬陥．薄仙　託据　井域識精		44	[]	imported	
STG0062/ID00003/000034	stage	STG0062	ID00003	34	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	50edd463743385345c9d3983476f58e260a59b9d52d54f63e5cd98cd3b8b363e	현재의 차원경계선은 엇갈려 저정도의 전이능력으로는		뒤얽혀 있어서,나 정도의 전이 능력으로는	及浄粕　赤嬢辞，蟹　舛亀税　穿戚　管径生稽澗		44	[]	imported	
STG0062/ID00003/000035	stage	STG0062	ID00003	35	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	a859e6059694a0a8e11052ab74d9de2d1c3d32c2179c270b08ad08e45034ae4d	차원의 벽을 돌파할 수는 없다		차원의 벽을 돌파하는 것은 불가능하다	託据税　混聖　宜督馬澗　依精　災亜管馬陥		40	[]	imported	
STG0062/ID00003/000036	stage	STG0062	ID00003	36	01_스테이지 xlsx 모음/STG0062(39화B)-ID00003-script-통합.xlsx	109ee24ada3a8cdf3deb0238c4341e38174827a97703511c1c7bedfabb86b438	3e79cb6c5d594b9b5cb7e4cea844e5c850cef10b166ec5523f6ec5d6045473d5	ＷＩＬＬ		WILL	ＷＩＬＬ		8	[]	imported	
